```markdown
|  | 商誉 | 特许权 | 专利权 | 商标权 | 已发展技术 | 客户关系 | 电脑软件成本 | 合计 |
|---|---|---|---|---|---|---|---|---|
| 1月1日 | $21,590,328 | $10,617,875 | $4,831,836 | $9,564,095 | $12,259,966 | $1,515,078 | $9,927,635 | $70,306,813 |
| 累计摊销及减损 | (3,320,618) | (4,000,516) | (3,800,192) | (1,378,121) | (4,052,130) | (698,201) | (6,396,996) | (23,646,774) |
|---|---|---|---|---|---|---|---|---|
| 1月1日 | $18,269,710 | $6,617,359 | $1,031,644 | $8,185,974 | $8,207,836 | $816,877 | $3,530,639 | $46,660,039 |
| 转入 | - | - | - | - | - | - | - | 221,757 |
| 新增 | - | - | 3,131 | 56 | 661,918 | - | 1,007,710 | 1,672,815 |
| 企业合并取得 | 2,396,045 | - | - | - | 626,203 | 1,075,117 | 52,680 | 4,150,045 |
| 处分 | - | - | (374,567) | - | - | - | - | (9,786) |
| 摊销费用 | - | (523,058) | (91,985) | (375,946) | (946,427) | (120,208) | (1,066,306) | (3,123,930) |
| 丧失对子公司控制之变动 | (30,312) | - | - | - | - | - | - | (30,312) |
| 损益 | 690,011 | - | 16,795 | 298,387 | 150,098 | 55,971 | 149,505 | 1,360,767 |
| 9月30日 | $21,325,454 | $6,094,301 | $585,018 | $8,108,471 | $8,699,628 | $1,827,757 | $3,886,199 | $50,526,828 |
| 9月30日 | $24,774,786 | $10,617,875 | $4,663,182 | $9,931,372 | $13,786,572 | $2,670,357 | $11,447,037 | $77,891,182 |
| 累计摊销及减损 | (3,449,332) | (4,523,575) | (4,078,164) | (1,822,901) | (5,086,944) | (842,600) | (7,560,838) | (27,364,354) |
|---|---|---|---|---|---|---|---|---|
| 9月30日 | $21,325,454 | $6,094,301 | $585,018 | $8,108,471 | $8,699,628 | $1,827,757 | $3,886,199 | $50,526,828 |
```
