```markdown
# (八) 存貨

|  | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|---|---|---|---|
| 原材料 | $286,148,101 | $315,841,715 | $338,906,082 |
| 在製品 | 164,043,652 | 200,135,075 | 211,789,147 |
| 製成品 | 322,512,836 | 409,997,122 | 305,753,861 |
| 在途存貨 | 18,100,505 | 39,526,287 | 41,147,353 |
| --- | --- | --- | --- |
|  | 790,805,094 | 965,500,199 | 897,596,443 |
| 減：備抵存貨評價損失 | (18,512,184) | (26,478,147) | (17,048,455) |
| --- | --- | --- | --- |
|  | $772,292,910 | $939,022,052 | $880,547,988 |

## 本集團當期認列為費損之存貨成本：

|  | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|---|---|---|
| 已出售存貨成本 | $1,441,970,667 | $1,643,775,358 |
| 評價損失(回升利益) | 845,020 | (1,274,974) |
| 出售下腳及廢料收入 | (2,576,287) | (3,657,207) |
| 其他 | 170,756 | 133,893 |
| --- | --- | --- |
|  | $1,440,410,156 | $1,638,977,070 |

|  | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|---|---|---|
| 已出售存貨成本 | $4,049,167,399 | $4,384,659,755 |
| 回升利益 | (7,979,827) | (1,528,516) |
| 出售下腳及廢料收入 | (5,917,882) | (8,470,793) |
| 其他 | 214,356 | 286,981 |
| --- | --- | --- |
|  | $4,035,484,046 | $4,374,947,427 |

## 民國111年7月1日至9月30日暨112年及111年1月1日至9月30日因出售部分淨變現價值低於成本之存貨，故存貨淨變現價值回升。

# (九) 採用權益法之投資

|  | 112年 | 111年 |
|---|---|---|
| 1月1日 | $239,489,049 | $194,593,652 |
| 增加採用權益法之投資 | 8,856,319 | 44,658,676 |
| 處分採用權益法之投資 | (4,768,620) | (2,096,306) |
| 喪失對子公司控制之變動 | (1,433,975) | - |
| 採用權益法之投資退回股款 | (24,734,235) | - |
| 採用權益法之投資盈餘分派 | (3,770,534) | (6,071,751) |
| 採用權益法之投資損益份額 | (14,848,553) | 7,586,132 |
| 保留盈餘變動 | (684,649) | (310,571) |
| 資本公積變動 | 671,470 | 353,765 |
| 其他權益變動 | (2,369,425) | (13,357,290) |
| 減損損失 | (482,537) | (146,400) |
| 其他 | 4,847,878 | 13,034,182 |
| 9月30日 | $200,772,188 | $238,244,089 |
```
