1. **文件类型**：这是一份财务报表，具体来说是公司的合并财务报表。
2. **公司名称**：文件顶部显示的公司名称是“亚德国际股份有限公司”。

3. **文件中的主要标题或类别**：
   - **合并财务报表**：包括资产负债表、利润表和现金流量表。
   - **财务数据摘要**：列出了不同时间点的财务数据，如110年1月1日、110年3月31日、111年1月1日和111年3月31日的财务数据。

4. **财务数据摘要**：
   - **资产负债表**：
     - **110年1月1日**：
       - 资产总额：22,482,759新台币
       - 负债总额：8,369新台币
       - 所有者权益总额：22,491,128新台币
     - **110年3月31日**：
       - 资产总额：22,039,812新台币
       - 负债总额：8,194新台币
       - 所有者权益总额：22,041,618新台币
     - **111年1月1日**：
       - 资产总额：35,151,671新台币
       - 负债总额：7,748新台币
       - 所有者权益总额：35,151,671新台币
     - **111年3月31日**：
       - 资产总额：35,240,035新台币
       - 负债总额：7,574新台币
       - 所有者权益总额：35,240,035新台币

   - **利润表**：
     - **110年1月1日至3月31日**：
       - 净利润：1,447,154新台币
     - **111年1月1日至3月31日**：
       - 净利润：1,678,177新台币

   - **现金流量表**：
     - **110年1月1日至3月31日**：
       - 经营活动产生的现金流量净额：1,447,336新台币
     - **111年1月1日至3月31日**：
       - 经营活动产生的现金流量净额：1,678,310新台币

这些数据提供了公司财务状况和经营成果的概览，有助于分析公司的财务健康状况和盈利能力。
