```markdown
# 台達電子工業股份有限公司及子公司

## 合併財產負債表

民國 111 年 9 月 30 日及民國 110 年 12 月 31 日、9 月 30 日

(民國 111 年及 110 年 9 月 30 日之合併財產負債表僅經核閱，未依一般公認審計準則查核)

單位：新台幣仟元

| 資 產 | 附註 | 111 年 9 月 30 日 | 110 年 12 月 31 日 | 110 年 9 月 30 日 |
|-------|------|----------------|----------------|----------------|
| 流動資產 | | | | |
| 1100  | 現金及約當現金 | 六(一) | $64,941,352 | $49,855,053 | $54,393,270 |
| 1110  | 透過損益按公允價值衡量之金融資產－流動 | 六(二) | 1,392,627 | 1,085,729 | 1,033,252 |
| 1136  | 按攤銷後成本衡量之金融資產－流動 | 八 | 257,856 | 327,238 | 256,214 |
| 1140  | 合約資產－流動 | 六(二十) | 3,939,280 | 3,589,313 | 3,239,155 |
| 1150  | 應收票據淨額 | 六(五) | 3,589,788 | 3,420,633 | 3,486,909 |
| 1170  | 應收帳款淨額 | 六(五) | 84,934,013 | 67,436,377 | 61,436,227 |
| 1180  | 應收帳款－關係人淨額 | 七 | 53,784 | 27,831 | 9,753 |
| 1200  | 其他應收款 | 六(六)及七 | 2,234,537 | 1,815,370 | 2,107,973 |
| 1220  | 本期所得稅資產 |  | 462,391 | 349,207 | 480,142 |
| 130X  | 存貨 | 六(七) | 78,751,233 | 66,107,351 | 61,935,059 |
| 1410  | 預付款項 |  | 2,669,269 | 2,450,269 | 2,417,670 |
| 1460  | 待出售非流動資產淨額 | 六(八) | 234,578 | 320,551 | - |
| 1470  | 其他流動資產 |  | 107,109 | 93,272 | 76,879 |
| 11XX  | 流動資產合計 | | 243,567,817 | 196,878,194 | 190,872,503 |
| 非流動資產 | | | | | |
| 1510  | 透過損益按公允價值衡量之金融資產－非流動 | 六(二) | 2,665,895 | 3,351,798 | 2,991,627 |
| 1517  | 透過其他綜合損益按公允價值衡量之金融資產－非流動 | 六(三) | 1,547,199 | - | 1,509,748 |
| 1560  | 合約資產－非流動 | 六(二十) | 460,296 | - | 548,812 |
| 1550  | 採用權益法之投資 |  | 87,928 | - | 64,661 |
| 1600  | 不動產、廠房及設備 | 六(八)及八 | 84,548,986 | 76,607,285 | 75,393,641 |
| 1755  | 使用權資產 | 六(九) | 4,474,833 | 3,006,960 | 2,899,034 |
| 1760  | 投資性不動產淨額 |  | 14,070 | - | 14,070 |
| 1780  | 無形資產 | 六(十) | 80,693,294 | 73,609,564 | 72,674,814 |
| 1840  | 遞延所得稅資產 |  | 7,849,918 | 7,177,447 | 6,318,607 |
| 1900  | 其他非流動資產 | 六(五)(十一) |  |  | |
| 及八 |  | 2,392,717 | - | 2,352,477 | 1 |
| 15XX  | 非流動資產合計 | | 184,735,136 | 168,234,116 | 164,751,154 |
| 1XXX  | 資產總計 | | $428,302,953 | $365,112,310 | $355,623,657 |
| (續 次 頁) | | | | | |

~6~
```
