```markdown
# 資產負債表

**單位：新台幣仟元**

| 代 碼 | 資 產 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
| --- | --- | --- | --- | --- |
| 1100 | 現金及約當現金（附註六） | $42,892,859 | $39,126,405 | $31,304,990 |
| 1110 | 透過損益按公允價值衡量之金融資產－流動（附註七） | 3,853,705 | 4,208,551 | 2,908,803 |
| 1136 | 按攤銷後成本衡量之金融資產－流動（附註九） | 7,504,890 | 10,764,884 | 12,100,511 |
| 1139 | 避險之金融資產－流動（附註十） | 88,707 | - | 97,365 |
| 1150 | 應收票據淨額（附註十一） | 244,636 | - | 195,177 |
| 1170 | 應收帳款淨額（附註十一、三二及三三） | 23,815,597 | 22,105,150 | 22,315,971 |
| 1200 | 其他應收款（附註三二） | 983,822 | 1,072,785 | 990,134 |
| 130X | 存貨（附註十二及三三） | 26,122,761 | 25,197,902 | 19,220,647 |
| 1410 | 預付款項 | 2,124,500 | 1,292,243 | 1,125,278 |
| 1470 | 其他流動資產 | 1,029,741 | - | 736,330 |
| 11XX | 流動資產總計 | 108,661,218 | 104,828,656 | 91,060,188 |

| 代 碼 | 資 產 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
| --- | --- | --- | --- | --- |
| 1510 | 透過損益按公允價值衡量之金融資產－非流動（附註七） | 1,264,119 | - | 672,258 |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產－非流動（附註八） | 780,487 | - | 691,440 |
| 1533 | 按攤銷後成本衡量之金融資產－非流動（附註九） | 13,743,676 | 9,143,579 | 7,006,294 |
| 1538 | 避險之金融資產－非流動（附註十） | 556,475 | 507,195 | 375,894 |
| 1550 | 應用權益法之投資（附註十四） | 1,599,955 | 1,517,420 | 1,760,369 |
| 1600 | 不動產、廠房及設備（附註十五及三三） | 53,400,974 | 50,695,356 | 50,889,441 |
| 1755 | 使用權資產 | 1,345,308 | 1,647,319 | 1,715,144 |
| 1760 | 投資性不動產（附註十六及三三） | 136,097 | - | 138,670 |
| 1805 | 商譽（附註十七） | 45,302,477 | 44,131,198 | 46,718,148 |
| 1821 | 其他無形資產淨額（附註十八） | 22,900,643 | 22,303,362 | 23,297,592 |
| 1840 | 遞延所得稅資產（附註二五） | 4,552,039 | 5,493,080 | 3,470,722 |
| 1920 | 存出保證金 | 212,426 | - | 197,878 |
| 1990 | 其他非流動資產 | 728,143 | - | 938,310 |
| 15XX | 非流動資產總計 | 146,504,039 | 138,074,027 | 137,039,914 |

| 代 碼 | 資 產 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
| --- | --- | --- | --- | --- |
| 1XXX | 資 產 總 計 | $255,165,257 | $242,902,683 | $228,100,102 |

| 代 碼 | 負 債 | 及 權 益 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
| --- | --- | --- | --- | --- | --- |
| 2100 | 短期借款（附註十九及三三） | $18,320,812 | $26,005,204 | $40,582,587 |
| 2110 | 應付短期票券（附註十九） | 20,075,116 | 20,078,123 | 1,192,174 |
| 2120 | 透過損益按公允價值衡量之金融負債－流動（附註七） | 95,210 | - | 190,200 |
| 2126 | 避險之金融負債－流動（附註十） | - | 44,192 | - |
| 2150 | 應付票據 | 1,012 | - | 7,229 |
| 2170 | 應付帳款（附註三二） | 17,390,961 | 18,636,978 | 16,379,773 |
| 2220 | 其他應付款（附註二一及三三） | 21,739,877 | 15,126,324 | 14,099,932 |
| 2230 | 本期應付稅費（附註二五） | 5,385,044 | 4,295,120 | 3,326,931 |
| 2280 | 租賃負債－流動 | 368,390 | - | 441,465 |
| 2320 | 一年內到期之長期借款（附註十九） |
