```markdown
# 瑞昱半導體股份有限公司及子公司

## 合併損益表

### 民國112年及111年1月至9月30日

| 項目 | 附註 | 112年 7月 1日至 9月 30日 | 111年 7月 1日至 9月 30日 | 112年 1月 1日至 9月 30日 | 111年 1月 1日至 9月 30日 |
|------|------|--------------------------|--------------------------|--------------------------|--------------------------|
| 4000 | 營業收入 | $26,678,445 | $29,772,018 | $72,594,151 | $90,027,673 |
| 5000 | 營業成本 | (15,468,799) | (15,468,231) | (41,950,971) | (44,892,807) |
| 5950 | 營業毛利淨額 | 11,209,646 | 14,303,787 | 30,643,180 | 45,134,866 |
| 6100 | 推銷費用 | (1,073,473) | (1,293,284) | (2,889,626) | (3,848,815) |
| 6200 | 管理費用 | (946,042) | (1,029,026) | (2,544,012) | (3,129,899) |
| 6300 | 研究發展費用 | (7,197,978) | (7,947,938) | (19,667,123) | (24,192,651) |
| 6450 | 預期信用減損利益(損失) | (2,368) | - | (44,036) | (9,789) |
| 6000 | 營業費用合計 | (9,219,861) | (10,267,851) | (25,144,797) | (31,181,154) |
| 6900 | 營業利益 | 1,989,785 | 4,035,936 | 5,498,383 | 13,953,712 |
| 營業外收入及支出 | | | | | |
| 7100 | 利息收入 | 677,997 | 361,657 | 1,880,521 | 689,725 |
| 7010 | 其他收入 | 60,097 | 109,395 | 80,443 | 217,085 |
| 7020 | 其他利益及損失 | 5,546 | (29,994) | 19,755 | (41,975) |
| 7050 | 財務成本 | (48,800) | (83,378) | (176,902) | (136,344) |
| 7060 | 採用權益法認列之關聯企業及合資損益之份額 | (14,942) | (3,222) | (42,580) | (14,503) |
| 7000 | 營業外收入及支出合計 | 679,898 | 354,458 | 1,761,237 | 713,988 |
| 7900 | 稅前淨利 | 2,669,683 | 4,207,037 | 7,259,620 | 14,667,700 |
| 7950 | 所得稅費用 | (97,739) | (183,357) | (287,249) | (597,251) |
| 8200 | 本期淨利 | $2,571,944 | $4,207,037 | $6,972,371 | $14,070,449 |

(續 次 頁)
```
