```markdown
| 投資公司名稱 | 子公司名稱 | 業務性質 | 112年9月30日 | 111年12月31日 | 111年9月30日 | 說明 |
| --- | --- | --- | --- | --- | --- | --- |
| 家福(股)公司 | 康達盛通保險經紀人(股)公司 | 保險業 | 100.00 | 100.00 | 100.00 | (註1) |
| 家福(股)公司 | 康達盛通公寓大廈管理維護(股)公司 | 公寓大廈管理服務業 | 100.00 | 100.00 | 100.00 | (註4) |
| 家福(股)公司 | 統康生活事業(股)公司 | 零售業 | 100.00 | 100.00 | 100.00 | (註4) |
| 家福(股)公司 | 長陽開發(股)公司 | 不動產租賃 | 50.00 | 50.00 | 50.00 | (註1) |
| 統一國際開發(股)公司 | President (BVI) 生產事業之投資等 | 100.00 | 100.00 | 100.00 | (註1) |
| 統一國際開發(股)公司 | 統宇投資(股)公司 | 專業投資 | 100.00 | 100.00 | 100.00 | (註1) |
| 統一國際開發(股)公司 | 統一生命科技(股)公司 | 精密化學材料及精密儀器製造等 | 100.00 | 100.00 | 100.00 | (註1) |
| 統一國際開發(股)公司 | 統一置業(股)公司 | 不動產買賣、租賃 | 100.00 | 100.00 | 100.00 | (註1) |
| 德記洋行(股)公司 | 德通(股)公司 | 各項飲料生產 | 100.00 | 100.00 | 100.00 | (註1) |
| 德記洋行(股)公司 | 德記洋行(香港)國際有限公司 | 從事國際貿易業務 | 100.00 | 100.00 | 100.00 | (註1) |
| 德記洋行(股)公司 | 德記洋行實業(上海)有限公司 | 各項食品及飲料批發等業務 | 100.00 | - | - | (註9) |
| 統一東京(股)公司 | 統一東京小客車租賃(股)公司 | 小客車租賃 | 100.00 | 100.00 | 100.00 | (註1) |
| 統一東京(股)公司 | Uni-President Tc-Lease (Cayman) Corporation及子公司 | 專業投資等 | - | 100.00 | 100.00 | (註1) |
| 統奕包裝(股)公司 | President Packaging Holdings Ltd.及子公司 | 一般投資業務等 | 100.00 | 100.00 | 100.00 | (註1) |
| 統奕包裝(股)公司 | President Cup Corp. | 紙容器之買賣業務 | - | 100.00 | 100.00 | (註1) |
| 台灣神隆(股)公司 | SPT International, Ltd.及子公司 | 一般投資業務等 | 100.00 | 100.00 | 100.00 | (註1) |
| 台灣神隆(股)公司 | ScinoPharm Singapore Pte. Ltd. | 一般投資業務 | 100.00 | 100.00 | 100.00 | (註1) |
```
