```markdown
| 投資公司名稱 | 子公司名稱 | 業務性質 | 所持股權百分比（%） | 說明 |
| --- | --- | --- | --- | --- |
| 中國鋼鐵股份有限公司 | 中龍鋼鐵股份有限公司 (中龍) | 熱軋鋼捲、H型鋼、小鋼胚、窄幅鋼板 | 100 |  |
| 中盈投資開發股份有限公司 (中盈) | 一般投資 | 100 | 100 | 100 |
| 中鋼運通股份有限公司 (中運) | 散裝船船運輸 | 100 | 100 | 100 |
| 中鋼鋁業股份有限公司 (中鋁) | 鋁製品及非鐵金屬產品之生產買賣 | 100 | 100 | 100 |
| 中欣開發股份有限公司 (中欣) | 不動產開發 | 100 | 100 | 100 |
| China Steel Asia Pacific Holdings Pte Ltd (CSAP) | 投資控股 | 100 | 100 | 100 |
| 中鴻鋼鐵股份有限公司 (中鴻) | 鋼品製造 | 41 | 41 | 41 |
| 中鋼碳素化學股份有限公司 (中碳) | 煤化學及特用化學品之製造 | 29 | 29 | 29 |
| 中貿國際股份有限公司 (中貿) | 鋼品仲介及買賣業務 | 100 | 100 | 100 |
| 中聯資源股份有限公司 (中聯資源) | 煉石粉及高爐水泥產銷、氣冷高爐石及轉爐石、資源回收利用 | 20 | 20 | 20 |
| 中冠資訊股份有限公司 (中冠) | 企業資訊系統整合服務 | 100 | 100 | 100 |
| 中國鋼鐵結構股份有限公司 (中鋼構) | 鋼結構製造 | 33 | 33 | 33 |
| 中宇環保工程股份有限公司 (中宇) | 環保工程、機電工程、代營運及機電維護 | 45 | 45 | 45 |
| 中鋼保全股份有限公司 (中鋼保全) | 駐衛保全及系統保磁性材料、特用化學品及氧化鐵生產買賣 | 100 | 100 | 100 |
| 高科磁技股份有限公司 (高磁) | 鋼鐵設備軌道車輛運輸設備發電等機械設備製造 | 74 | 74 | 74 |
| 中鋼企管顧問股份有限公司 (中鋼企管) | 企業經營管理顧問業 | 100 | 100 | 100 |
| 徹航創業投資股份有限公司 (徹航) | 一般投資 | - | - | - |
| CSC Steel Australia Holdings Pty Ltd (CSC SAH) | 一般投資 | 100 | 100 | 100 |
```
