(承前頁), [300.0, 297.0, 550.0, 347.0]
110年1月1日至3月31日, [1705.0, 429.0, 2220.0, 472.0]
111年1月1日至3月31日, [1120.0, 495.0, 1636.0, 537.0]
(重編後並經核閱), [1756.0, 498.0, 2172.0, 537.0]
%, [2124.0, 562.0, 2194.0, 606.0]
%, [1541.0, 563.0, 1614.0, 606.0]
額_, [1404.0, 564.0, 1506.0, 608.0]
会, [1107.0, 566.0, 1173.0, 608.0]
金, [1688.0, 566.0, 1762.0, 605.0]
代 碼, [274.0, 567.0, 431.0, 609.0]
額, [1979.0, 567.0, 2064.0, 604.0]
$ 8,055,532, [1132.0, 628.0, 1432.0, 673.0]
$ 7,053,143, [1713.0, 630.0, 2012.0, 673.0]
7900, [272.0, 631.0, 392.0, 673.0]
27, [1552.0, 631.0, 1628.0, 672.0]
 25, [2134.0, 633.0, 2205.0, 672.0]
稅前淨利, [448.0, 635.0, 669.0, 674.0]
 1,567,242, [1775.0, 759.0, 2017.0, 804.0]
所得稅費用(附註四及二五), [447.0, 760.0, 1084.0, 800.0]
1,785,546, [1204.0, 760.0, 1432.0, 803.0]
7950, [274.0, 761.0, 392.0, 800.0]
6, [1576.0, 762.0, 1630.0, 802.0]
 6, [2157.0, 762.0, 2207.0, 805.0]
8200, [272.0, 883.0, 390.0, 929.0]
5,485,901, [1785.0, 886.0, 2008.0, 929.0]
6,269,986, [1206.0, 887.0, 1432.0, 929.0]
21, [1550.0, 888.0, 1628.0, 932.0]
本期淨利, [450.0, 889.0, 667.0, 930.0]
 19, [2130.0, 889.0, 2205.0, 930.0]
其他綜合損益, [450.0, 1016.0, 764.0, 1057.0]
8310, [270.0, 1078.0, 394.0, 1120.0]
不重分類至損益之項, [551.0, 1083.0, 1016.0, 1122.0]
目：, [611.0, 1146.0, 706.0, 1185.0]
透過其他綜合損益, [651.0, 1210.0, 1062.0, 1251.0]
8316, [274.0, 1212.0, 392.0, 1249.0]
按公允價值衡量, [702.0, 1275.0, 1062.0, 1316.0]
之權益工具投資, [704.0, 1340.0, 1062.0, 1382.0]
未實現評價損益, [704.0, 1404.0, 1062.0, 1445.0]
(附註二三), [719.0, 1468.0, 998.0, 1510.0]
8,713 ), [1294.0, 1468.0, 1447.0, 1512.0]
6,848, [1878.0, 1471.0, 2012.0, 1509.0]
8320, [274.0, 1532.0, 392.0, 1573.0]
採用權益法之關聯, [648.0, 1534.0, 1064.0, 1576.0]
企業及合資其他, [704.0, 1598.0, 1066.0, 1641.0]
綜合損益份額, [699.0, 1662.0, 1022.0, 1706.0]
7,584), [1289.0, 1664.0, 1442.0, 1705.0]
一, [1593.0, 1680.0, 1618.0, 1705.0]
16,297), [1275.0, 1727.0, 1442.0, 1768.0]
6,848, [1876.0, 1728.0, 2009.0, 1764.0]
||, [2173.0, 1737.0, 2204.0, 1773.0]
8360, [274.0, 1790.0, 392.0, 1829.0]
後續可能重分類至損益, [548.0, 1792.0, 1063.0, 1830.0]
之項目：, [606.0, 1859.0, 815.0, 1894.0]
國外營運機構財務, [651.0, 1918.0, 1065.0, 1963.0]
8361, [272.0, 1919.0, 390.0, 1960.0]
報表換算之兌換, [698.0, 1983.0, 1066.0, 2029.0]
差額(附註二三), [702.0, 2050.0, 1076.0, 2092.0]
5,334,215, [1204.0, 2050.0, 1432.0, 2091.0]
702,841） (, [1826.0, 2050.0, 2112.0, 2092.0]
18, [1554.0, 2051.0, 1626.0, 2090.0]
2), [2159.0, 2053.0, 2215.0, 2095.0]
8368, [272.0, 2113.0, 390.0, 2156.0]
306,511, [1244.0, 2115.0, 1432.0, 2156.0]
避險工具之損益, [651.0, 2116.0, 1014.0, 2157.0]
T, [1581.0, 2117.0, 1624.0, 2155.0]
55,543 ), [1851.0, 2118.0, 2031.0, 2155.0]
|, [2176.0, 2128.0, 2201.0, 2152.0]
採用權益法之關聯, [648.0, 2179.0, 1064.0, 2220.0]
8370, [274.0, 2181.0, 392.0, 2220.0]
企業及合資之其, [702.0, 2244.0, 1064.0, 2287.0]
他綜合損益份額, [704.0, 2312.0, 1064.0, 2351.0]
14,807), [1849.0, 2372.0, 2027.0, 2416.0]
(附註二三), [723.0, 2374.0, 998.0, 2415.0]
34,754, [1268.0, 2376.0, 1426.0, 2415.0]
8399, [272.0, 2436.0, 388.0, 2478.0]
與可能重分類之項, [653.0, 2438.0, 1064.0, 2480.0]
目相關之所得稅, [706.0, 2505.0, 1066.0, 2546.0]
(附註四及二, [719.0, 2567.0, 1014.0, 2610.0]
1,079,712), [1199.0, 2631.0, 1447.0, 2680.0]
130,786, [1824.0, 2632.0, 2008.0, 2676.0]
五), [704.0, 2635.0, 793.0, 2676.0]
4), [1572.0, 2638.0, 1636.0, 2681.0]
15, [1550.0, 2695.0, 1630.0, 2740.0]
2), [2155.0, 2696.0, 2217.0, 2742.0]
4,595,768, [1206.0, 2697.0, 1430.0, 2740.0]
642,405), [1829.0, 2699.0, 2023.0, 2738.0]
8300, [272.0, 2759.0, 390.0, 2802.0]
本期其他綜合損益, [653.0, 2762.0, 1062.0, 2804.0]
(稅後淨額), [725.0, 2826.0, 987.0, 2868.0]
(__, [2070.0, 2826.0, 2217.0, 2872.0]
15, [1552.0, 2827.0, 1628.0, 2871.0]
4,579,471, [1202.0, 2828.0, 1426.0, 2870.0]
635,557), [1822.0, 2828.0, 2031.0, 2870.0]
$ 4,850,344, [1710.0, 2951.0, 2008.0, 2998.0]
_36, [1531.0, 2952.0, 1634.0, 2999.0]
_17, [2114.0, 2952.0, 2205.0, 2999.0]
$ 10,849,457, [1131.0, 2953.0, 1427.0, 2995.0]
8500, [274.0, 2954.0, 392.0, 2993.0]
本期綜合損益總額, [452.0, 2955.0, 865.0, 2996.0]
(接次頁), [299.0, 3082.0, 541.0, 3125.0]
- 7 -, [1200.0, 3271.0, 1324.0, 3310.0]
