### 111年12月31日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 避險之金融資產 | | | | |
| 利率交換合約 | $ - | $ 470,782 | $ - | $ 470,782 |
| 遠期外匯合約 | - | $ 412,294 | - | $ 412,294 |
| | $ - | $ 883,076 | $ - | $ 883,076 |
| 避險之金融負債 | | | | |
| 遠期外匯合約 | $ - | $ 5,799 | $ - | $ 5,799 |

### 111年9月30日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過損益按公允價值衡量之金融資產 | | | | |
| 基金受益憑證 | $ 2,238,533 | $ - | $ - | $ 2,238,533 |
| 未上市（權）股票 | - | - | $ 795,104 | $ 795,104 |
| 興櫃股票 | - | - | $ 158,454 | $ 158,454 |
| 上市（權）股票 | $ 76,414 | - | - | $ 76,414 |
| 可轉換公司債 | $ 29,271 | - | - | $ 29,271 |
| 期貨合約 | - | $ 2,257 | - | $ 2,257 |
| | $ 2,344,218 | $ 2,257 | $ 953,558 | $ 3,300,033 |
| 透過損益按公允價值衡量之金融負債 | | | | |
| 遠期外匯合約 | $ - | $ 3,784 | $ - | $ 3,784 |
| 透過其他綜合損益按公允價值衡量之金融資產 | | | | |
| 國外未上市股票及權利證書 | $ - | $ - | $ 38,047,517 | $ 38,047,517 |
| 國內上市（權）股票 | $ 14,267,536 | - | - | $ 14,267,536 |
| 國內興櫃及未上市（權）股票 | - | - | $ 3,095,505 | $ 3,095,505 |
| 國外上市股票 | $ 1,969,837 | - | - | $ 1,969,837 |
| 公司債 | $ 57,735 | - | - | $ 57,735 |
| | $ 16,295,108 | $ - | $ 41,143,022 | $ 57,438,130 |
| 避險之金融資產 | | | | |
| 利率交換合約 | $ - | $ 548,375 | $ - | $ 548,375 |
| 遠期外匯合約 | - | $ 271,939 | - | $ 271,939 |
| | $ - | $ 820,314 | $ - | $ 820,314 |
| 避險之金融負債 | | | | |
| 遠期外匯合約 | $ - | $ 12,075 | $ - | $ 12,075 |

### 112及111年1月1日至9月30日無第1等級與第2等級公允價值衡量間移轉之情形。
