### (三十八)来自筹资活动之负债之变动

| 项目 | 112年1月1日余额 | 112年9月30日余额 | 111年1月1日余额 | 111年9月30日余额 |
|------|----------------|----------------|----------------|----------------|
| 短期借款 | $ 33,263,107 | $ 46,546,415 | $ 24,530,062 | $ 43,092,029 |
| 应付短期票据 | $ 7,371,738 | $ 18,525,026 | $ 11,178,763 | $ 6,673,457 |
| 应付公司债 | $ 51,050,000 | $ 58,450,000 | $ 52,050,000 | $ 51,050,000 |
| 长期借款 | $ 24,136,590 | $ 28,837,328 | $ 14,083,293 | $ 21,019,516 |
| 租赁负债 | $ 88,501,939 | $ 116,564,044 | $ 79,747,850 | $ 87,240,189 |
| 存入保证金 | $ 6,741,365 | $ 7,926,627 | $ 6,555,269 | $ 6,893,400 |
| 负债总额 | $ 211,064,739 | $ 276,849,440 | $ 188,145,237 | $ 215,968,591 |

### (三十八)来自筹资活动之负债之变动

| 项目 | 112年1月1日余额 | 112年9月30日余额 | 111年1月1日余额 | 111年9月30日余额 |
|------|----------------|----------------|----------------|----------------|
| 短期借款 | $ 33,263,107 | $ 46,546,415 | $ 24,530,062 | $ 43,092,029 |
| 应付短期票据 | $ 7,371,738 | $ 18,525,026 | $ 11,178,763 | $ 6,673,457 |
| 应付公司债 | $ 51,050,000 | $ 58,450,000 | $ 52,050,000 | $ 51,050,000 |
| 长期借款 | $ 24,136,590 | $ 28,837,328 | $ 14,083,293 | $ 21,019,516 |
| 租赁负债 | $ 88,501,939 | $ 116,564,044 | $ 79,747,850 | $ 87,240,189 |
| 存入保证金 | $ 6,741,365 | $ 7,926,627 | $ 6,555,269 | $ 6,893,400 |
| 负债总额 | $ 211,064,739 | $ 276,849,440 | $ 188,145,237 | $ 215,968,591 |

### (三十八)来自筹资活动之负债之变动

| 项目 | 112年1月1日余额 | 112年9月30日余额 | 111年1月1日余额 | 111年9月30日余额 |
|------|----------------|----------------|----------------|----------------|
| 短期借款 | $ 33,263,107 | $ 46,546,415 | $ 24,530,062 | $ 43,092,029 |
| 应付短期票据 | $ 7,371,738 | $ 18,525,026 | $ 11,178,763 | $ 6,673,457 |
| 应付公司债 | $ 51,050,000 | $ 58,450,000 | $ 52,050,000 | $ 51,050,000 |
| 长期借款 | $ 24,136,590 | $ 28,837,328 | $ 14,083,293 | $ 21,019,516 |
| 租赁负债 | $ 88,501,939 | $ 116,564,044 | $ 79,747,850 | $ 87,240,189 |
| 存入保证金 | $ 6,741,365 | $ 7,926,627 | $ 6,555,269 | $ 6,893,400 |
| 负债总额 | $ 211,064,739 | $ 276,849,440 | $ 188,145,237 | $ 215,968,591 |
