### 111年9月30日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 金融負債 | $5,761,809 | $5,293,221 | $5,293,221 | $5,293,221 |

### (二) 公允價值資訊－以重複性基礎按公允價值衡量之金融工具

#### 1. 公允價值層級

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過損益按公允價值衡量之金融資產 | $99,107 | $216,177 | $1,670 | $217,847 |
| 國外上市（櫃）股票 | - | - | - | - |
| 國內未上市（櫃）股票 | - | - | 46,104 | 46,104 |
| 國外未上市（櫃）股票 | - | - | 637 | 637 |
| 國外私募基金 | - | - | 399,516 | 399,516 |
| 結構型商品 | - | 798,469 | - | 798,469 |
| 結構式存款 | - | - | 1,881,648 | 1,881,648 |
| 合計 | $99,107 | $1,014,646 | $2,329,575 | $3,443,328 |

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過其他綜合損益按公允價值衡量之金融資產 | $1,545,144 | - | - | $1,545,144 |
| 權益工具投資 | - | - | - | - |
| 國內上市（櫃）股票 | - | - | - | - |
| 透過損益按公允價值衡量之金融負債 | - | $49,074 | - | $49,074 |
| 衍生工具 | - | - | - | - |
| 國外營運機構淨投資避險 | - | $1,235,908 | - | $1,235,908 |
| 現金流量避險 | - | 264,223 | - | 264,223 |
| 合計 | - | $1,500,131 | - | $1,500,131 |
| 避險之金融資產 | - | - | - | - |
| 現金流量避險 | - | $1,375,062 | - | $1,375,062 |
| 衍生工具 | - | - | - | - |
| 國外營運機構淨投資避險 | - | $1,235,908 | - | $1,235,908 |
| 現金流量避險 | - | 15,492 | - | 15,492 |
| 合計 | - | $1,390,554 | - | $1,390,554 |

### 112年9月30日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過損益按公允價值衡量之金融資產 | $99,107 | $1,014,646 | $2,329,575 | $3,443,328 |
| 國外上市（櫃）股票 | - | - | - | - |
| 國內未上市（櫃）股票 | - | - | 46,104 | 46,104 |
| 國外未上市（櫃）股票 | - | - | 637 | 637 |
| 國外私募基金 | - | - | 399,516 | 399,516 |
| 結構型商品 | - | 798,469 | - | 798,469 |
| 結構式存款 | - | - | 1,881,648 | 1,881,648 |
| 合計 | $99,107 | $1,014,646 | $2,329,575 | $3,443,328 |

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過其他綜合損益按公允價值衡量之金融資產 | $1,545,144 | - | - | $1,545,144 |
| 權益工具投資 | - | - | - | - |
| 國內上市（櫃）股票 | - | - | - | - |
| 透過損益按公允價值衡量之金融負債 | - | $49,074 | - | $49,074 |
| 衍生工具 | - | - | - | - |
| 國外營運機構淨投資避險 | - | $1,235,908 | - | $1,235,908 |
| 現金流量避險 | - | 264,223 | - | 264,223 |
| 合計 | - | $1,500,131 | - | $1,500,131 |
| 避險之金融資產 | - | - | - | - |
| 現金流量避險 | - | $1,375,062 | - | $1,375,062 |
| 衍生工具 | - | - | - | - |
| 國外營運機構淨投資避險 | - | $1,235,908 | - | $1,235,908 |
| 現金流量避險 | - | 15,492 | - | 15,492 |
| 合計 | - | $1,390,554 | - | $1,390,554 |
