根据提供的图像，以下是提取的文本和表格信息：

### 文本内容
- **单位**：新台币仟元，惟每股盈余为元
- **董事长**：王世忠
- **经理人**：王世忠
- **会计主管**：曹永祥

### 表格数据
| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|------------------|------------------|------------------|------------------|
| 4100 | 6,077,173        | 6,663,429        | 19,808,521        | 19,632,353        |
| 5110 | 3,262,883        | 3,384,194        | 10,820,108        | 10,021,046        |
| 5900 | 2,814,290        | 3,279,235        | 8,988,413         | 9,611,307         |
| 6100 | 626,899          | 585,804          | 1,898,833         | 1,705,148         |
| 6200 | 305,934          | 505,533          | 821,844           | 1,015,791         |
| 6300 | 184,819          | 152,205          | 543,778           | 441,850           |
| 6450 | -6,376           | 6,809            | 17,549            | 33,455            |
| 6000 | 1,111,276        | 1,250,351        | 3,282,004         | 3,196,244         |
| 6900 | 1,703,014        | 2,028,884        | 5,706,409         | 6,415,063         |
| 7100 | 28,369           | 22,947           | 76,133            | 73,262            |
| 7020 | 105,275          | 83,470           | 386,070           | 19,210            |
| 7050 | -34,424          | -1               | -1               | -1               |
| 7000 | 99,220           | 52,253           | 358,728           | 95,087            |
| 7900 | 1,802,234        | 2,081,137        | 6,065,137         | 6,319,976         |
| 7950 | 411,201          | 480,532          | 1,394,306         | 1,484,268         |
| 8200 | 1,391,033        | 1,600,605        | 4,670,831         | 4,835,708         |
| 8310 | 305,956          | 21,206           | 1,083,920         | 400,927           |
| 8341 | 5               | -               | 5               | -               |
| 8360 | -204,482         | -1              | 13,085           | -               |
| 8300 | 250,344          | 24,747           | 879,438          | 387,842          |
| 8500 | 1,641,377        | 1,575,858        | 5,550,269         | 4,447,866        |
| 8600 | 1,391,166        | 1,600,763        | 4,671,193         | 4,836,237        |
| 8620 | -133             | -158            | -362             | -529             |
| 8700 | 1,641,519        | 1,576,015        | 5,550,662         | 4,448,377        |
| 8720 | -142             | -157            | -393             | -511             |
| 9710 | 6.96             | 8.47            | 23.36            | 25.59            |
| 9810 | 6.95             | 8.47            | 23.34            | 25.57            |

### 结构化数据输出
```markdown
| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|------------------|------------------|------------------|------------------|
| 4100 | 6,077,173        | 6,663,429        | 19,808,521        | 19,632,353        |
| 5110 | 3,262,883        | 3,384,194        | 10,820,108        | 10,021,046        |
| 5900 | 2,814,290        | 3,279,235        | 8,988,413         | 9,611,307         |
| 6100 | 626,899          | 585,804          | 1,898,833         | 1,705,148         |
| 6200 | 305,934          | 505,533          | 821,844           | 1,015,791         |
| 6300 | 184,819          | 152,205          | 543,778           | 441,850           |
| 6450 | -6,376           | 6,809            | 17,549            | 33,455            |
| 6000 | 1,111,276        | 1,250,351        | 3,282,004         | 3,196,244         |
| 6900 | 1,703,014        | 2,028,884        | 5,706,409         | 6,415,063         |
| 7100 | 28,369           | 22,947           | 76,133            | 73,262            |
| 7020 | 105,275          | 83,470           | 386,070           | 19,210            |
| 7050 | -34,424          | -1
