# 财务报告分析

## 110年度第一季

| 项目 | 110年1月1日余额 | 110年第一季度净利 | 110年第一季度其他综合损益 | 本期综合损益总额 | 盈余指拨及分配： |
|------|----------------|------------------|-----------------------------|------------------|------------------|
| 现金股利 | - | - | - | - | - |
| 对子公司所有权权益变动 | - | - | - | - | - |
| 非控制权益变动 | - | - | - | - | - |
| 110年3月31日余额 | $5,461,792 | $2,818,336 | $12,544,333 | $381,843 | $42,338,324 |

## 111年度第一季

| 项目 | 111年1月1日余额 | 111年第一季度净利 | 111年第一季度其他综合损益 | 本期综合损益总额 | 盈余指拨及分配： |
|------|----------------|------------------|-----------------------------|------------------|------------------|
| 现金股利 | - | - | - | - | - |
| 对子公司所有权权益变动 | - | - | - | - | - |
| 非控制权益变动 | - | - | - | - | - |
| 111年3月31日余额 | $5,461,792 | $2,807,477 | $13,925,963 | $381,843 | $47,944,833 |

## 总计

| 项目 | 110年1月1日余额 | 110年第一季度净利 | 110年第一季度其他综合损益 | 本期综合损益总额 | 盈余指拨及分配： |
|------|----------------|------------------|-----------------------------|------------------|------------------|
| 现金股利 | - | - | - | - | - |
| 对子公司所有权权益变动 | - | - | - | - | - |
| 非控制权益变动 | - | - | - | - | - |
| 110年3月31日余额 | $5,461,792 | $2,818,336 | $12,544,333 | $381,843 | $42,338,324 |

| 项目 | 111年1月1日余额 | 111年第一季度净利 | 111年第一季度其他综合损益 | 本期综合损益总额 | 盈余指拨及分配： |
|------|----------------|------------------|-----------------------------|------------------|------------------|
| 现金股利 | - | - | - | - | - |
| 对子公司所有权权益变动 | - | - | - | - | - |
| 非控制权益变动 | - | - | - | - | - |
| 111年3月31日余额 | $5,461,792 | $2,807,477 | $13,925,963 | $381,843 | $47,944,833 |

## 总计

| 项目 | 110年1月1日余额 | 110年第一季度净利 | 110年第一季度其他综合损益 | 本期综合损益总额 | 盈余指拨及分配： |
|------|----------------|------------------|-----------------------------|------------------|------------------|
| 现金股利 | - | - | - | - | - |
| 对子公司所有权权益变动 | - | - | - | - | - |
| 非控制权益变动 | - | - | - | - | - |
| 110年3月31日余额 | $5,461,792 | $2,818,336 | $12,544,333 | $381,843 | $42,338,324 |

| 项目 | 111年1月1日余额 | 111年第一季度净利 | 111年第一季度其他综合损益 | 本期综合损益总额 | 盈余指拨及分配： |
|------|----------------|------------------|-----------------------------|------------------|------------------|
| 现金股利 | - | - | - | - | - |
| 对子公司所有权权益变动 | - | - | - | - | - |
| 非控制权益变动 | - | - | - | - | - |
| 111年3月31日余额 | $5,461,792 | $2,807,477 | $13,925,963 | $381,843 | $47,944,833 |

## 总计

| 项目 | 110年1月1日余额 | 110年第一季度净利 | 110年第一季度其他综合损益 | 本期综合损益总额 | 盈余指拨及分配： |
|------|----------------|------------------|-----------------------------|------------------|------------------|
| 现金股利 | - | - | - | - | - |
| 对子公司所有权权益变动 | - | - | - | - | - |
| 非控制权益变动 | - | - | - | - | - |
| 110年3月31日余额 | $5,461,792 | $2,818,336 | $12,544,333 | $381,843 | $42,338,324 |

| 项目 | 111年1月1日余额 | 111年第一季度净利 | 111年第一季度其他综合损益 | 本期综合损益总额 | 盈余指拨及分配： |
|------|----------------|------------------|-----------------------------|------------------|------------------|
| 现金股利 | - | - | - | - | - |
| 对子公司所有权权益变动 | - | - | - | - | - |
| 非控制权益变动 | - | - | - | - | - |
| 111年3月31日余额 | $5,461,792 | $2,807,477 | $13,925,963 | $381,843 | $47,944,833 |

## 总计

| 项目 | 110年1月1日余额 | 110年第一季度净利 | 110年第一季度其他综合损益 | 本期综合损益总额 | 盈余指拨及分配： |
|------|----------------|------------------|-----------------------------|------------------|------------------|
| 现金股利 | - | - | - | - | - |
| 对子公司所有权权益变动 | - | - | - | - | - |
| 非控制权益变动 | - | - | - | - | - |
| 110年3月31日余额 | $5,461,792 | $2,818,336 | $12,544,333 | $381,843 | $42,338,324 |

| 项目 | 111年1月1日余额 | 111年第一季度净利 | 111年第一季度其他综合损益 | 本期综合损益总额 | 盈余指拨及分配： |
|------|----------------|------------------|-----------------------------|------------------|------------------|
| 现金股利 | - | - | - | - | - |
| 对子公司所有权权益变动 | - | - | - | - | - |
| 非控制权益变动 | - | - | - | - | - |
| 111年3月31日余额 | $5,461,792 | $2,807,477 | $13,925,963 | $381,843 | $47,944,833 |

## 总计

| 项目 | 110年1月1日余额 | 110年第一季度净利 | 110年第一季度其他综合损益 | 本期综合损益总额 | 盈余指拨及分配： |
|------|----------------|------------------|-----------------------------|------------------|------------------|
| 现金股利 | - | - | - | - | - |
| 对子公司所有权权益变动 | - | -
