### 财务报告

#### 1.111年7月1日至9月30日
#### 1.110年7月1日至9月30日
#### 1.111年1月1日至9月30日
#### 1.110年1月1日至9月30日

| 项目 | 111年7月1日至9月30日 | 111年7月1日至9月30日 | 111年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|------------------|------------------|------------------|------------------|
| 收入 |  |  |  |  |
| 4010 利息收入 | $4,241,411 | $3,169,207 | $11,915,002 | $9,010,993 |
| 4020 保费收入 | 2,435,084 | 2,203,888 | 6,988,598 | 6,266,671 |
| 4040 再保佣金收入 | 140,110 | 121,200 | 397,787 | 351,614 |
| 4050 手续费收入 | 3,094 | 2,968 | 8,623 | 8,546 |
| 4060 接受权益法确认之关联企业及合营利益之份额 | 603,464 | 285,107 | 1,567,716 | 1,497,350 |
| 4105 通过其他综合收益按公允价值计量之金融资产已实现收益 | 49,240 | 72,627 | 215,166 | 207,490 |
| 4160 销售收入净额 |  |  |  |  |
| 4161 销售收入 | 50,777,536 | 47,630,786 | 147,239,260 | 162,116,415 |
| 4162 销售退回 | (354,456) | (172,148) | (923,111) | (696,760) |
| 4163 销售折让 | (899,457) | (1,078,608) | (3,131,049) | (3,295,123) |
| 4170 租赁收入 | 4,455,047 | 3,774,514 | 12,836,220 | 11,066,156 |
| 4180 劳务收入 | 583,811 | 494,862 | 1,658,538 | 1,454,641 |
| 4210 处分不动产、厂房及设备收益 | 2,835 | 5,849 | 9,619 | 23,985 |
| 4230 投资性不动产收益 | 43,717 | 42,517 | 132,126 | 121,859 |
| 4270 其他收入 | 378,096 | 308,638 | 1,043,238 | 740,566 |
| 4256 投资之预期信用（减值损失）转回收益 | (5) | (4) | (29) | (9) |
| 4245 接受覆盖法重分类之损益 | (203,308) | - | 222,701 | - |
| 4280 未实现销售损益 | (50,573) | - | 60,998 | (23,318) |
| 4290 已实现销售损益 | 66,381 | - | - | 66,381 |
| 收入合计 | 62,272,027 | 57,145,102 | 180,724,849 | 188,844,546 |
|  |  |  |  |  |
| 支出 |  |  |  |  |
| 5010 利息费用 | (861,388) | (492,886) | (2,100,259) | (1,403,958) |
| 5030 承保费用 | (166) | (77) | (296) | (373) |
| 5040 佣金费用 | (1,413,469) | (1,253,428) | (4,351,345) | (3,672,015) |
| 5050 保险赔付与给付 | (10,377,038) | (931,300) | (13,321,604) | (2,871,840) |
| 5070 其他保险负债净变动 | (9,219,019) | (292,062) | (14,960,828) | (727,075) |
| 5110 通过损益按公允价值计量之金融资产及负债损益 | (228,474) | (158,088) | (652,981) | (671,619) |
| 5190 销售成本 | (43,313,555) | (40,302,325) | (124,360,182) | (138,833,735) |
| 5200 租赁成本 | (3,477,045) | (3,160,743) | (10,299,498) | (9,181,055) |
| 5210 劳务成本 | (576,540) | (400,814) | (1,565,295) | (1,104,874) |
| 5230 营业费用 |  |  |  |  |
| 5231 推销费用 | (2,507,899) | (2,630,468) | (7,371,475) | (7,316,920) |
| 5232 管理及总务费用 | (1,454,939) | (1,566,061) | (4,462,146) | (4,515,720) |
| 5233 研究发展费用 | (30,221) | (28,052) | (85,100) | (84,887) |
| 5287 非投资之预期信用（减值损失） | (479,154) | (167,559) | (1,192,784) | (822,003) |
| 5270 投资性不动产费用及损失 | (9,260) | (8,393) | (28,344) | (24,925) |
| 5280 减值损失 | (1,092,475) | - | (1,092,475) | - |
| 5290 其他费用 | (225,726) | (69,023) | (145
