### (三十一)来自筹资活动之负债之变动

| 项目 | 112年1月1日 | 112年9月30日 |
|------|--------------|--------------|
| 短期借款 | $13,737,994 | $6,386,080 |
| 保证金 | $556 | $542 |
| 租赁负债 | $1,301,631 | $1,581,120 |
| 长期借款 | $1,713,316 | $2,011,134 |
| 应付股利 | $ | $13,847,319 |
| 之负债总额 | $16,753,497 | $23,826,195 |

### (三十一)来自筹资活动之负债之变动

| 项目 | 112年1月1日 | 112年9月30日 |
|------|--------------|--------------|
| 短期借款 | $13,737,994 | $6,386,080 |
| 保证金 | $556 | $542 |
| 租赁负债 | $1,301,631 | $1,581,120 |
| 长期借款 | $1,713,316 | $2,011,134 |
| 应付股利 | $ | $13,847,319 |
| 之负债总额 | $16,753,497 | $23,826,195 |
