### 财务报告

#### 台湾化学纤维股份有限公司及子公司
#### 合并资产负债表
#### 民国112年3月31日及民国111年12月31日、3月31日
#### （民国112年及111年3月31日之合并资产负债表未经核阅，未依审计准则查核）

#### 单位：新台币仟元

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 流动负债 | | | |
| 2100 短期借款 | $ 41,589,873 | $ 35,117,887 | $ 18,148,209 |
| 2110 应付短期票据 | 37,270,503 | 32,892,666 | 20,246,274 |
| 2120 透过损益按公允价值衡量之金融负债－流动 | - | 2,826 | - |
| 2150 应付票据 | 37,318 | 164,722 | 219,006 |
| 2170 应付帐款 | 4,795,145 | 4,801,464 | 6,963,861 |
| 2180 应付帐款－关系人 | 16,098,995 | 13,884,528 | 20,490,961 |
| 2200 其他应付款 | 16,943,901 | 12,432,106 | 9,469,817 |
| 2220 其他应付款项－关系人 | 1,480,221 | 1,472,658 | 558,174 |
| 2230 本期所得税负债 | 957,241 | 903,787 | 6,290,338 |
| 2280 租赁负债－流动 | 169,255 | 165,804 | 160,195 |
| 2320 一年或一营业周期内到期长期负债 | 10,233,556 | 11,045,140 | 4,550,000 |
| 2399 其他流动负债－其他 | 2,987,334 | 4,067,358 | 4,041,240 |
| 21XX 流动负债合计 | 132,563,342 | 116,950,946 | 91,138,075 |
| 非流动负债 | | | |
| 2530 应付公司债 | 40,650,000 | 40,650,000 | 44,400,000 |
| 2540 长期借款 | 18,664,363 | 18,568,279 | 18,431,794 |
| 2570 遗留所得税负债 | 383,066 | 383,054 | 391,041 |
| 2580 租赁负债－非流动 | 806,781 | 804,249 | 819,933 |
| 2600 其他非流动负债 | 4,694,546 | 4,825,636 | 5,465,033 |
| 25XX 非流动负债合计 | 65,198,756 | 65,231,218 | 69,507,801 |
| 2XXX 负债总计 | 197,762,098 | 182,182,164 | 160,645,876 |
| 归属于母公司股东之权益 | | | |
| 股本 | | | |
| 3110 普通股股本 | 58,611,863 | 58,611,863 | 58,611,863 |
| 资本公积 | | | |
| 3200 资本公积 | 9,244,529 | 9,246,656 | 9,193,803 |
| 保留盈余 | | | |
| 3310 法定盈余公积 | 70,224,189 | 70,224,189 | 66,313,982 |
| 3320 特别盈余公积 | 76,461,277 | 76,461,277 | 70,032,921 |
| 3350 未分配盈余 | 35,069,343 | 41,405,257 | 78,206,426 |
| 其他权益 | | | |
| 3400 其他权益 | 83,979,313 | 70,501,451 | 120,321,747 |
| 3500 储藏股票 | (323,952) | - | (323,952) |
| 31XX 归属于母公司股东之权益合计 | 333,266,562 | 326,126,741 | 402,356,790 |
| 36XX 非控制权益 | 46,489,147 | 47,229,723 | 53,566,586 |
| 3XXX 权益总计 | 379,755,709 | 373,356,464 | 455,923,376 |
| 重大或有负债及未确认之合约 | | | |
| 承诺 | | | |
| 重大之期后事项 | | | |
| 3X2X 负债及权益总计 | $ 577,517,807 | $ 555,538,628 | $ 616,569,252 |

#### 后附合并财务报表附注为本合并财务报告之一部分，请併同参阅。

#### 董事长：洪福源
#### 经理人：吕文进
#### 会计主管：郑文彦
