### 财务报告表格数据输出

#### Markdown表格格式

| 投资公司 | 子公司 | 業務性質 | 112年3月31日 | 111年12月31日 | 111年3月31日 | 說明 |
|----------|--------|----------|--------------|---------------|--------------|------|
| 4. 台達電子工業股份有限公司 | 乾坤科技股份有限公司（乾坤） | 薄膜光電元件等之研究、開發、生產、製造與銷售 | 100.00 | 100.00 | 100.00 | |
| 5. " | 達爾生技股份有限公司（達爾） | 醫療器材製造、批發與銷售 | 100.00 | 100.00 | 100.00 | (註1) (註2) |
| 6. " | 台達資本股份有限公司（台達資本） | 投資事業 | 100.00 | 100.00 | 100.00 | |
| 7. " | Delta Electronics Int'l (Singapore) Pte. Ltd. (DEIL-SG) | 研發、經營及銷售電子產品 | 100.00 | 100.00 | 100.00 | |
| 8. " | 展茂光電股份有限公司（展茂） | 租賃服務等 | - | - | 99.97 (註11) | |
| 9. 台達電子工業股份有限公司、DIH/台達電子工業股份有限公司、DEN | Delta America Ltd. (DAL) | 投資事業 | 100.00 | 100.00 | 100.00 | (註25) |
| 10. DEN | Delta Electronics (H.K.) Ltd. (DHK) | 投資事業及提供作業管理服務 | 100.00 | 100.00 | 100.00 | |
| 11. DIH | DEI Logistics (USA) Corp. (ALI) | 提供海外發貨倉儲作業服務 | 100.00 | 100.00 | 100.00 | |
| 12. " | Delta Electronics (Japan), Inc. (DEJ) | 經營電源、視訊、零組件、機電等產品及材料之買賣 | 100.00 | 100.00 | 100.00 | (註1) (註2) |
| 13. DEN | Drake Investment (HK) Limited (Drake-HK) | 投資事業 | 100.00 | 100.00 | 100.00 | |
| 14. DGSG、Drake-HK、Boom | 中達電通股份有限公司（中達電通） | 經營不斷電式電源供應器等電子產品之銷售業務 | 95.91 | 95.91 | 95.91 | |
| 15. DEN | Delta Greentech SGP Pte. Ltd. (DGSG) | 投資事業 | 100.00 | 100.00 | 100.00 | |
| 16. DIH | Delta Electronics Europe Ltd. (DEU) | 維修中心及提供支援服務 | - | 100.00 | 100.00 | (註2) (註21) |
| 17. DEN | Boom Treasure Limited (Boom) | 投資事業 | 100.00 | 100.00 | 100.00 | |
| 18. DHK | 台達電子(東莞)有限公司（台達電子東莞） | 經營變壓器及散熱等電子產品之製造及銷售業務 | 100.00 | 100.00 | 100.00 | |

#### 文本输出

以下是财务报告表格数据的文本输出：

| 投资公司 | 子公司 | 業務性質 | 112年3月31日 | 111年12月31日 | 111年3月31日 | 說明 |
|----------|--------|----------|--------------|---------------|--------------|------|
| 4. 台達電子工業股份有限公司 | 乾坤科技股份有限公司（乾坤） | 薄膜光電元件等之研究、開發、生產、製造與銷售 | 100.00 | 100.00 | 100.00 | |
| 5. " | 達爾生技股份有限公司（達爾） | 醫療器材製造、批發與銷售 | 100.00 | 100.00 | 100.00 | (註1) (註2) |
| 6. " | 台達資本股份有限公司（台達資本） | 投資事業 | 100.00 | 100.00 | 100.00 | |
| 7. " | Delta Electronics Int'l (Singapore) Pte. Ltd. (DEIL-SG) | 研發、經營及銷售電子產品 | 100.00 | 100.00 | 100.00 | |
| 8. " | 展茂光電股份有限公司（展茂） | 租賃服務等 | - | - | 99.97 (註11) | |
| 9. 台達電子工業股份有限公司、DIH/台達電子工業股份有限公司、DEN | Delta America Ltd. (DAL) | 投資事業 | 100.00 | 100.00 | 100.00 | (註25) |
| 10. DEN | Delta Electronics (H.K.) Ltd. (DHK) | 投資事業及提供作業管理服務 | 100.00 | 100.00 | 100.00 | |
| 11. DIH | DEI Logistics (USA) Corp. (ALI) | 提供海外發貨倉儲作業服務 | 100.00 | 100.00 | 100.00 | |
| 12. " | Delta Electronics (Japan), Inc. (DEJ) | 經營電源、視訊、零組件、機電等產品及材料之買賣 | 100.00 | 100.00 | 100.00 | (註1) (註2) |
| 13. DEN | Drake Investment (HK) Limited (Drake-HK) | 投資事業 | 100.00 | 100.00 | 100.00 | |
| 14. DGSG、Drake-HK、Boom | 中達電通股份有限公司（中達電通） | 經營不斷電式電源供應器等電子產品之銷售業務 | 95.91 | 95.91 | 95.91 | |
| 15. DEN | Delta Greentech SGP Pte. Ltd. (DGSG) | 投資事業 | 100.00 | 100.00 | 100.00 | |
| 16. DIH | Delta Electronics Europe Ltd. (DEU) | 維修中心及提供支援服務 | - | 100.00 | 100.00 | (註2) (註21) |
| 17. DEN | Boom Treasure Limited (Boom) | 投資事業 | 100.00 | 100.00 | 100.00 | |
| 18. DHK | 台達電子(東莞)有限公司（台達電子東莞） | 經營變壓器及散熱等電子產品之製造及銷售業務 | 100.00 | 100.00 | 100.00 | |
