### 财务报告分析

#### 1. 收购 The Joen Water Co., Ltd.

**112年6月9日**

| 项目 | 金额（韩元） |
|------|--------------|
| 收购对价 | 102,073 |
| 取得可辨认资产及承担负债的公允价值 |  |
| 现金及约当现金 | 7 |
| 其他流动资产 | 1,148 |
| 其他非流动资产 | 64,764 |
| 其他可辨认无形资产 | 150,130 |
| 其他流动负债 | (77,979) |
| 其他非流动负债 | (75,708) |
| 可辨认净资产 | 62,362 |
| 企业并购产生商誉 | 39,711 |

#### 2. 合并 The Joen Water Co., Ltd.

**112年6月9日**

| 项目 | 金额（韩元） |
|------|--------------|
| 收购对价 | 102,073 |
| 取得可辨认资产及承担负债的公允价值 |  |
| 现金及约当现金 | 7 |
| 其他流动资产 | 1,148 |
| 其他非流动资产 | 64,764 |
| 其他可辨认无形资产 | 150,130 |
| 其他流动负债 | (77,979) |
| 其他非流动负债 | (75,708) |
| 可辨认净资产 | 62,362 |
| 企业并购产生商誉 | 39,711 |

#### 3. 合并家福股份有限公司

**112年6月30日**

| 项目 | 金额（韩元） |
|------|--------------|
| 收购对价 | 10,914,814 |
| 取得可辨认资产及承担负债的公允价值 |  |
| 现金及约当现金 |  |
| 其他流动资产 |  |
| 其他非流动资产 |  |
| 其他可辨认无形资产 |  |
| 其他流动负债 |  |
| 其他非流动负债 |  |
| 可辨认净资产 |  |
| 企业并购产生商誉 |  |

#### 4. 合并财务报告

**112年1月至9月**

| 项目 | 金额（韩元） |
|------|--------------|
| 收购对价 | 102,073 |
| 取得可辨认资产及承担负债的公允价值 |  |
| 现金及约当现金 | 7 |
| 其他流动资产 | 1,148 |
| 其他非流动资产 | 64,764 |
| 其他可辨认无形资产 | 150,130 |
| 其他流动负债 | (77,979) |
| 其他非流动负债 | (75,708) |
| 可辨认净资产 | 62,362 |
| 企业并购产生商誉 | 39,711 |

#### 5. 合并财务报告

**112年1月至9月**

| 项目 | 金额（韩元） |
|------|--------------|
| 收购对价 | 102,073 |
| 取得可辨认资产及承担负债的公允价值 |  |
| 现金及约当现金 | 7 |
| 其他流动资产 | 1,148 |
| 其他非流动资产 | 64,764 |
| 其他可辨认无形资产 | 150,130 |
| 其他流动负债 | (77,979) |
| 其他非流动负债 | (75,708) |
| 可辨认净资产 | 62,362 |
| 企业并购产生商誉 | 39,711 |

#### 6. 合并财务报告

**112年1月至9月**

| 项目 | 金额（韩元） |
|------|--------------|
| 收购对价 | 102,073 |
| 取得可辨认资产及承担负债的公允价值 |  |
| 现金及约当现金 | 7 |
| 其他流动资产 | 1,148 |
| 其他非流动资产 | 64,764 |
| 其他可辨认无形资产 | 150,130 |
| 其他流动负债 | (77,979) |
| 其他非流动负债 | (75,708) |
| 可辨认净资产 | 62,362 |
| 企业并购产生商誉 | 39,711 |

#### 7. 合并财务报告

**112年1月至9月**

| 项目 | 金额（韩元） |
|------|--------------|
| 收购对价 | 102,073 |
| 取得可辨认资产及承担负债的公允价值 |  |
| 现金及约当现金 | 7 |
| 其他流动资产 | 1,148 |
| 其他非流动资产 | 64,764 |
| 其他可辨认无形资产 | 150,130 |
| 其他流动负债 | (77,979) |
| 其他非流动负债 | (75,708) |
| 可辨认净资产 | 62,362 |
| 企业并购产生商誉 | 39,711 |

#### 8. 合并财务报告

**112年1月至9月**

| 项目 | 金额（韩元） |
|------|--------------|
| 收购对价 | 102,073 |
| 取得可辨认资产及承担负债的公允价值 |  |
| 现金及约当现金 | 7 |
| 其他流动资产 | 1,148 |
| 其他非流动资产 | 64,764 |
| 其他可辨认无形资产 | 150,130 |
| 其他流动负债 | (77,979) |
| 其他非流动负债 | (75,708) |
| 可辨认净资产 | 62,362 |
| 企业并购产生商誉 | 39,711 |

#### 9. 合并财务报告

**112年1月至9月**

| 项目 | 金额（韩元） |
|------|--------------|
| 收购对价 | 102,073 |
| 取得可辨认资产及承担负债的公允价值 |  |
| 现金及约当现金 | 7 |
| 其他流动资产 | 1,148 |
| 其他非流动资产 | 64,764 |
| 其他可辨认无形资产 | 150,130 |
| 其他流动负债 | (77,979) |
| 其他非流动负债 | (75,708) |
| 可辨认净资产 | 62,362 |
| 企业并购产生商誉 | 39,711 |

#### 10. 合并财务报告

**112年1月至9月**

| 项目 | 金额（韩元） |
|------|--------------|
| 收购对价 | 102,073 |
| 取得可辨认资产及承担负债的公允价值 |  |
| 现金及约当现金 | 7 |
| 其他流动资产 | 1,148 |
| 其他非流动资产 | 64,764 |
| 其他可辨认无形资产 | 150,130 |
| 其他流动负债 | (77,979) |
| 其他非流动负债 | (75,708) |
| 可辨认净资产 | 62,362 |
| 企业并购产生商誉 | 39,711 |

#### 11. 合并财务报告

**112年1月至9月**

| 项目 | 金额（韩元） |
|------|--------------|
| 收购对价 | 102,073 |
| 取得可辨认资产及承担负债的公允价值 |  |
| 现金及约当现金 | 7 |
| 其他流动资产 | 1,148 |
| 其他非流动资产 | 6
