# 财务报告分析

## 财务数据提取

### 文本数据

- **单位**：新台币仟元
- **货币**：新台币
- **时间**：111年及110年
- **报告日期**：至9月30日
- **报告类型**：合并财务报表
- **报告主体**：和泰汽车及子公司
- **报告内容**：除每股(虧損)盈餘为新台币元外

### 表格数据

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|------------------|------------------|------------------|------------------|
| 6617 | $824,728 (1) | $119,917 | - ($1,552,444) (1) | $1,005,113 |
| 6610 | 不重分类至损益之项目总额 | $119,917 | - ($1,552,444) (1) | $1,005,113 |
| 6650 | 後續可能重分類至損益之項目 | 16,556 | - (37,743) | - (378,107) |
| 6651 | 國外營運機構財務報表換算之兌換差額 | - (189,034) | - (18,307) |
| 6659 | 透過其他綜合損益按公允價值衡量之債務工具損益 | 19,826 | - (4,522) | - (92,633) |
| 6661 | 避險工具之損益 | 15,614 | - (42,251) | - (226,869) |
| 6675 | 採用覆蓋法重分類之其他綜合損益 | 203,308 | - (222,701) | - (724,024) |
| 6665 | 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分 | 49,384 | - 2,287 | - 28,297 |
| 6689 | 與可能重分類之項目相關之所得稅 | 5,629 | - 8,991 | - (52,545) |
| 6690 | 後續可能重分類至損益之項目總額 | 259,407 | - (295,939) | - (235,929) |
| 6600 | 其他綜合損益(淨額) | ($565,321) (1) | ($176,022) | - ($1,788,373) (1) | $705,089 |
| 6700 | 本期綜合損益總額 | ($13,343,781) (21) | $4,174,653 | 7 ($9,173,143) (5) | $15,862,192 |
| 6810 | 母公司業主 | ($13,651,638) (21) | $3,513,167 | 5 ($10,171,868) (6) | $12,667,726 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,178 | 1 | 837,508 | 2 |
| 6820 | 非控制權益 | 873,17
