### 无形资产

| 项目 | 112年1月1日 | 112年 | 112年9月30日 | 111年1月1日 | 111年 | 111年9月30日 |
|------|--------------|------|--------------|--------------|------|--------------|
| 成本 | $ 7,099,807 | $ 1,398,977 | $ 1,732,196 | $ 5,639,381 | $ 902,355 | $ 7,047,842 |
| 累计摊销及减损 | (5,700,830) | (5,162,742) | (1,849,418) | (4,737,026) | (715,768) | (5,454,336) |
| 汇兑差额 | $ 6,117,679 | $ 954,937 | $ 777,940 | $ 5,805,930 | $ 1,288,502 | $ 5,850,280 |
| 商誉 | $ 639,561 | $ 639,561 | $ 639,561 | $ 639,561 | $ 639,561 | $ 639,561 |
| 其他 | $ 348,766 | $ 59,281 | $ 13,256 | $ 281,520 | $ 40,837 | $ 351,743 |
| 合计 | $ 14,205,813 | $ 2,413,195 | $ 2,523,392 | $ 12,366,392 | $ 2,231,694 | $ 13,889,426 |

### 无形资产

| 项目 | 112年1月1日 | 112年 | 112年9月30日 | 111年1月1日 | 111年 | 111年9月30日 |
|------|--------------|------|--------------|--------------|------|--------------|
| 成本 | $ 7,099,807 | $ 1,398,977 | $ 1,732,196 | $ 5,639,381 | $ 902,355 | $ 7,047,842 |
| 累计摊销及减损 | (5,700,830) | (5,162,742) | (1,849,418) | (4,737,026) | (715,768) | (5,454,336) |
| 汇兑差额 | $ 6,117,679 | $ 954,937 | $ 777,940 | $ 5,805,930 | $ 1,288,502 | $ 5,850,280 |
| 商誉 | $ 639,561 | $ 639,561 | $ 639,561 | $ 639,561 | $ 639,561 | $ 639,561 |
| 其他 | $ 348,766 | $ 59,281 | $ 13,256 | $ 281,520 | $ 40,837 | $ 351,743 |
| 合计 | $ 14,205,813 | $ 2,413,195 | $ 2,523,392 | $ 12,366,392 | $ 2,231,694 | $ 13,889,426 |

### 无形资产

| 项目 | 112年1月1日 | 112年 | 112年9月30日 | 111年1月1日 | 111年 | 111年9月30日 |
|------|--------------|------|--------------|--------------|------|--------------|
| 成本 | $ 7,099,807 | $ 1,398,977 | $ 1,732,196 | $ 5,639,381 | $ 902,355 | $ 7,047,842 |
| 累计摊销及减损 | (5,700,830) | (5,162,742) | (1,849,418) | (4,737,026) | (715,768) | (5,454,336) |
| 汇兑差额 | $ 6,117,679 | $ 954,937 | $ 777,940 | $ 5,805,930 | $ 1,288,502 | $ 5,850,280 |
| 商誉 | $ 639,561 | $ 639,561 | $ 639,561 | $ 639,561 | $ 639,561 | $ 639,561 |
| 其他 | $ 348,766 | $ 59,281 | $ 13,256 | $ 281,520 | $ 40,837 | $ 351,743 |
| 合计 | $ 14,205,813 | $ 2,413,195 | $ 2,523,392 | $ 12,366,392 | $ 2,231,694 | $ 13,889,426 |

### 无形资产

| 项目 | 112年1月1日 | 112年 | 112年9月30日 | 111年1月1日 | 111年 | 111年9月30日 |
|------|--------------|------|--------------|--------------|------|--------------|
| 成本 | $ 7,099,807 | $ 1,398,977 | $ 1,732,196 | $ 5,639,381 | $ 902,355 | $ 7,047,842 |
| 累计摊销及减损 | (5,700,830) | (5,162,742) | (1,849,418) | (4,737,026) | (715,768) | (5,454,336) |
| 汇兑差额 | $ 6,117,679 | $ 954,937 | $ 777,940 | $ 5,805,930 | $ 1,288,502 | $ 5,850,280 |
| 商誉 | $ 639,561 | $ 639,561 | $ 639,561 | $ 639,561 | $ 639,561 | $ 639,561 |
| 其他 | $ 348,766 | $ 59,281 | $ 13,256 | $ 281,520 | $ 40,837 | $ 351,743 |
| 合计 | $ 14,205,813 | $ 2,413,195 | $ 2,523,392 | $ 12,366,392 | $ 2,231,694 | $
