### 财务报告

#### 111年7月1日至9月30日

| 项目 | 税后金额 | 加权平均流通在外股数(仟股) | 每股盈余（元） |
|------|----------|--------------------------|----------------|
| 基本每股盈余 | $ 4,207,022 | 512,863 | $ 8.20 |
| 稀释每股盈余 | $ 4,207,022 | 512,863 | $ 8.13 |

#### 112年1月1日至9月30日

| 项目 | 税后金额 | 加权平均流通在外股数(仟股) | 每股盈余（元） |
|------|----------|--------------------------|----------------|
| 基本每股盈余 | $ 6,972,304 | 512,863 | $ 13.59 |
| 稀释每股盈余 | $ 6,972,304 | 512,863 | $ 13.40 |

#### 111年1月1日至9月30日

| 项目 | 税后金额 | 加权平均流通在外股数(仟股) | 每股盈余（元） |
|------|----------|--------------------------|----------------|
| 基本每股盈余 | $ 14,070,401 | 512,257 | $ 27.47 |
| 稀释每股盈余 | $ 14,070,401 | 512,257 | $ 26.52 |

### 总计

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 基本每股盈余 | $ 4,207,022 | $ 6,972,304 | $ 14,070,401 |
| 稀释每股盈余 | $ 4,207,022 | $ 6,972,304 | $ 14,070,401 |
| 每股盈余（元） | $ 8.20 | $ 13.59 | $ 27.47 |
