### 财务报告分析

#### 111年9月30日

| 项目 | 111年9月30日 |
|------|--------------|
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |

#### 111年9月30日

| 项目 | 111年9月30日 |
|------|--------------|
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |

#### 111年9月30日

| 项目 | 111年9月30日 |
|------|--------------|
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |

#### 111年9月30日

| 项目 | 111年9月30日 |
|------|--------------|
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |

#### 111年9月30日

| 项目 | 111年9月30日 |
|------|--------------|
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |

#### 111年9月30日

| 项目 | 111年9月30日 |
|------|--------------|
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |

#### 111年9月30日

| 项目 | 111年9月30日 |
|------|--------------|
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |

#### 111年9月30日

| 项目 | 111年9月30日 |
|------|--------------|
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |

#### 111年9月30日

| 项目 | 111年9月30日 |
|------|--------------|
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |

#### 111年9月30日

| 项目 | 111年9月30日 |
|------|--------------|
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐面金额 |
| 避险工具 / 被避险项目 | 负债 |
| 避险工具 / 被避险项目 | 总计 |
| 现金流量避险 | |
| 避险工具 / 被避险项目 | 资产负债表 |
| 避险工具 / 被避险项目 | 帐
