# 财务报告分析

## 110年1月1日至3月31日

| 项目 | 110年1月1日余额 | 110年3月31日余额 |
|------|----------------|----------------|
| 普通股股本 | $ 7,719,455 | $ 7,722,545 |
| 预收股本 | $ 3,090 | $ 3,860 |
| 资本公积金 | $ 7,913,754 | $ 8,011,260 |
| 法定盈余公积 | $ 7,020,201 | $ 7,020,201 |
| 特别盈余公积 | $ 845,993 | $ 845,993 |
| 未分配盈余 | $ 11,739,513 | $ 11,197,954 |
| 损益 | $ 173,308 | $ 801,563 |
| 员工未赚得酬劳 | $ 1,477 | $ 1,477 |
| 总计 | $ 34,410,156 | $ 31,375,149 |
| 未分配盈余 | $ 1,477 | $ 1,477 |
| 损益 | $ 1,477 | $ 1,477 |
| 员工未赚得酬劳 | $ 1,477 | $ 1,477 |
| 总计 | $ 35,046,423 | $ 31,895,788 |

## 111年1月1日至3月31日

| 项目 | 111年1月1日余额 | 111年3月31日余额 |
|------|----------------|----------------|
| 普通股股本 | $ 7,738,228 | $ 7,744,638 |
| 预收股本 | $ 6,410 | $ 13,736 |
| 资本公积金 | $ 8,388,886 | $ 8,648,875 |
| 法定盈余公积 | $ 7,737,236 | $ 7,737,236 |
| 特别盈余公积 | $ 831,850 | $ 831,850 |
| 未分配盈余 | $ 13,705,710 | $ 10,077,601 |
| 损益 | $ 1,018,667 | $ 1,284,024 |
| 员工未赚得酬劳 | $ 1,477 | $ 1,392 |
| 总计 | $ 37,852,527 | $ 35,232,689 |
| 未分配盈余 | $ 1,477 | $ 1,392 |
| 损益 | $ 1,477 | $ 1,392 |
| 员工未赚得酬劳 | $ 1,477 | $ 1,392 |
| 总计 | $ 38,362,791 | $ 35,719,389 |

## 110年年度盈余指拨及分配

| 项目 | 110年1月1日余额 | 110年3月31日余额 |
|------|----------------|----------------|
| 普通股现金股利 | - | - |
| 股份基础给付-员工认股权 | $ 3,090 | $ 770 |
| 股份基础给付-员工认股权酬劳成本 | - | $ 109,322 |
| 採用權益法認列關聯企業及合資股權淨值之變動數 | - | - |
| 實際取得或處分子公司股權價格與帳面價值差額 | - | - |
| 處分透過其他綜合損益按公允價值衡量之權益 | - | - |
| 110年3月31日余额 | $ 7,722,545 | $ 8,011,260 |

## 111年年度盈余指拨及分配

| 项目 | 111年1月1日余额 | 111年3月31日余额 |
|------|----------------|----------------|
| 普通股现金股利 | - | - |
| 股份基础给付-员工认股权 | $ 6,410 | $ 7,326 |
| 股份基础给付-员工认股权酬劳成本 | - | $ 123,939 |
| 採用權益法認列關聯企業及合資股權淨值之變動數 | - | - |
| 實際取得或處分子公司股權價格與帳面價值差額 | - | - |
| 111年3月31日余额 | $ 7,744,638 | $ 8,648,875 |

## 110年年度盈余指拨及分配

| 项目 | 110年1月1日余额 | 110年3月31日余额 |
|------|----------------|----------------|
| 普通股现金股利 | - | - |
| 股份基础给付-员工认股权 | $ 6,410 | $ 7,326 |
| 股份基础给付-员工认股权酬劳成本 | - | $ 123,939 |
| 採用權益法認列關聯企業及合資股權淨值之變動數 | - | - |
| 實際取得或處分子公司股權價格與帳面價值差額 | - | - |
| 110年3月31日余额 | $ 7,744,638 | $ 8,648,875 |

## 111年年度盈余指拨及分配

| 项目 | 111年1月1日余额 | 111年3月31日余额 |
|------|----------------|----------------|
| 普通股现金股利 | - | - |
| 股份基础给付-员工认股权 | $ 6,410 | $ 7,326 |
| 股份基础给付-员工认股权酬劳成本 | - | $ 123,939 |
| 採用權益法認列關聯企業及合資股權淨值之變動數 | - | - |
| 實際取得或處分子公司股權價格與帳面價值差額 | - | - |
| 111年3月31日余额 | $ 7,744,638 | $ 8,648,875 |

## 110年年度盈余指拨及分配

| 项目 | 110年1月1日余额 | 110年3月31日余额 |
|------|----------------|----------------|
| 普通股现金股利 | - | - |
| 股份基础给付-员工认股权 | $ 6,410 | $ 7,326 |
| 股份基础给付-员工认股权酬劳成本 | - | $ 123,939 |
| 採用權益法認列關聯企業及合資股權淨值之變動數 | - | - |
| 實際取得或處分子公司股權價格與帳面價值差額 | - | - |
| 110年3月31日余额 | $ 7,744,638 | $ 8,648,875 |

## 111年年度盈余指拨及分配

| 项目 | 111年1月1日余额 | 111年3月31日余额 |
|------|----------------|----------------|
| 普通股现金股利 | - | - |
| 股份基础给付-员工认股权 | $ 6,410 | $ 7,326 |
| 股份基础给付-员工认股权酬劳成本 | - | $ 123,939 |
| 採用權益法認列關聯企業及合資股權淨值之變動數
