以下是从PDF财务报告中提取的文本和表格数据：

### 文本内容
- **单位：新台币仟元**
- **（除每股盈余为新台币元外）**
- **台达电子工业股份有限公司及子公司**
- **合并综合损益表**
- **民国112年及111年1月1日至3月31日**
- **（经核阅，未依审计准则查核）**

### 表格数据
| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 不重分类至损益之项目 | | |
| 8311 确定福利计划之再衡量数 | $29,202 | $130,154 |
| 8316 透过其他综合损益按公允价值衡量之权益工具投资未实现损益 | $639,635 | $33,959 |
| 8349 与不重分类之项目相关之所得税 | $(86,143) | - |
| 8310 不重分类至损益之项目总额 | $582,694 | $164,113 |
| 后续可能重分类至损益之项目 | | |
| 8361 国外营运机构财务报表换算之兑换差额 | $(923,684) | 7,357,483 |
| 8370 采用权益法认列之关联企业及合营之其他综合损益之份额 -可能重分类至损益之项目 | 356 | 64 |
| 8399 与可能重分类之项目相关之所得税 | 55,278 | $(415,852) |
| 8360 后续可能重分类至损益之项目总额 | $(868,050) | 6,941,695 |
| 8300 其他综合损益（净额） | $(285,356) | $7,105,808 |
| 8500 本期综合损益总额 | $7,685,725 | $13,936,598 |
| 母公司股东 | | |
| 8610 母公司股东 | $6,907,725 | $6,058,622 |
| 8620 非控制权益 | $1,063,356 | $772,168 |
| 综合损益总额归属于： | | |
| 8710 母公司股东 | $6,486,767 | $11,989,100 |
| 8720 非控制权益 | $1,198,958 | $1,947,498 |
| 基本每股盈余 | | |
| 9750 基本每股盈余 | $2.66 | $2.33 |
| 稀释每股盈余 | | |
| 9850 稀释每股盈余 | $2.65 | $2.33 |

### Markdown表格格式
```markdown
| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|---------------------|---------------------|
| 不重分类至损益之项目 | | |
| 8311 确定福利计划之再衡量数 | $29,202 | $130,154 |
| 8316 透过其他综合损益按公允价值衡量之权益工具投资未实现损益 | $639,635 | $33,959 |
| 8349 与不重分类之项目相关之所得税 | $(86,143) | - |
| 8310 不重分类至损益之项目总额 | $582,694 | $164,113 |
| 后续可能重分类至损益之项目 | | |
| 8361 国外营运机构财务报表换算之兑换差额 | $(923,684) | 7,357,483 |
| 8370 采用权益法认列之关联企业及合营之其他综合损益之份额 -可能重分类至损益之项目 | 356 | 64 |
| 8399 与可能重分类之项目相关之所得税 | 55,278 | $(415,852) |
| 8360 后续可能重分类至损益之项目总额 | $(868,050) | 6,941,695 |
| 8300 其他综合损益（净额） | $(285,356) | $7,105,808 |
| 8500 本期综合损益总额 | $7,685,725 | $13,936,598 |
| 母公司股东 | | |
| 8610 母公司股东 | $6,907,725 | $6,058,622 |
| 8620 非控制权益 | $1,063,356 | $772,168 |
| 综合损益总额归属于： | | |
| 8710 母公司股东 | $6,486,767 | $11,989,100 |
| 8720 非控制权益 | $1,198,958 | $1,947,498 |
| 基本每股盈余 | | |
| 9750 基本每股盈余 | $2.66 | $2.33 |
| 稀释每股盈余 | | |
| 9850 稀释每股盈余 | $2.65 | $2.33 |
```

请注意，上述表格数据是根据提供的PDF财务报告图像提取的，可能不包含所有细节或信息。在实际应用中，建议对数据进行进一步验证和处理。
