### 财务报告

#### 台湾化学纤维股份有限公司及子公司
#### 合并现金流量表
#### 民国111年及110年1月1日至3月31日
#### （经核阅，未依一般公认会计准则查核）

#### 单位：新台币仟元

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 投资活动之现金流量 | | |
| 其他应收款-关系人(增加)减少 | ($ 143,110) | $ 273,560 |
| 取得透过损益按公允价值衡量之金融资产价款 | - | (106,598) |
| 取得透过其他综合损益按公允价值衡量之金融资产 | - | (550) |
| 处分透过损益按公允价值衡量之金融资产价款 | 2,422,330 | - |
| 处分按摊销后成本衡量之金融资产 | 4,277,141 | 951,435 |
| 取得采用权益法之投资价款 | (228,763) | (887,813) |
| 取得不動產、廠房及設備 | (5,314,517) | (4,304,715) |
| 处分不動產、廠房及設備价款 | 10,185 | 2,346 |
| 其他非流动资产增加 | (457,552) | (796,201) |
| 投资活动之净现金流入(流出) | 565,714 | (4,868,536) |
| 筹资活动之现金流量 | | |
| 短期借款增加 | 635,335 | 6,448,065 |
| 应付短期票券增加 | 2,449,649 | 450,576 |
| 其他应付款-关系人增加(减少) | 16,161 | (7,671) |
| 贷借长期借款 | 3,532,037 | 3,173,670 |
| 偿还长期借款 | (2,500,000) | (3,056,913) |
| 偿还应付公司债 | (1,100,000) | - |
| 租赁本金偿还 | (42,008) | (46,478) |
| 其他非流动负债增加(减少) | 17,154 | (15,531) |
| 支付现金股利 | (408) | - |
| 支付现金股利-非控制权益 | (460,104) | (181,067) |
| 支付已转列资本公积之现金股利 | (41) | (128) |
| 筹资活动之净现金流入 | 2,547,775 | 6,764,523 |
| 汇率影响数 | 1,462,474 | 25,419 |
| 本期现金及约当现金增加数 | 8,759,714 | 3,487,501 |
| 期初现金及约当现金余额 | 23,062,097 | 17,127,127 |
| 期末现金及约当现金余额 | $ 31,821,811 | $ 20,614,628 |

#### 后附合併財務報表附註為本合併財務報告之一部分，請併同參閱。

#### 董事長：洪福源
#### 經理人：呂文進
#### 會計主管：鄭文彥
