### 财务报告

#### 110年第一季度

| 项目 | 110年3月31日 | 110年1月1日 |
|------|--------------|--------------|
| 库存现金 | $ 58,611,863 | $ 58,611,863 |
| 活期存款 | $ 9,167,637 | $ 9,167,637 |
| 总计 | $ 67,779,500 | $ 67,779,500 |

#### 111年第一季度

| 项目 | 111年3月31日 | 111年1月1日 |
|------|--------------|--------------|
| 库存现金 | $ 58,611,863 | $ 58,611,863 |
| 活期存款 | $ 9,193,803 | $ 9,193,803 |
| 总计 | $ 67,805,666 | $ 67,805,666 |

### 附注

#### 普通股股本

| 项目 | 110年3月31日 | 110年1月1日 |
|------|--------------|--------------|
| 普通股股本 | $ 66,335,076 | $ 66,335,076 |
| 总计 | $ 66,335,076 | $ 66,335,076 |

#### 法定盈余公积

| 项目 | 110年3月31日 | 110年1月1日 |
|------|--------------|--------------|
| 法定盈余公积 | $ 66,328,339 | $ 66,328,339 |
| 总计 | $ 66,328,339 | $ 66,328,339 |

#### 特别盈余公积

| 项目 | 110年3月31日 | 110年1月1日 |
|------|--------------|--------------|
| 特别盈余公积 | $ 53,380,101 | $ 53,380,101 |
| 总计 | $ 53,380,101 | $ 53,380,101 |

#### 未分配盈余

| 项目 | 110年3月31日 | 110年1月1日 |
|------|--------------|--------------|
| 未分配盈余 | $ 98,095,277 | $ 98,095,277 |
| 总计 | $ 98,095,277 | $ 98,095,277 |

#### 实现损益

| 项目 | 110年3月31日 | 110年1月1日 |
|------|--------------|--------------|
| 实现损益 | $ 32,123 | $ 32,123 |
| 总计 | $ 32,123 | $ 32,123 |

#### 非控制权益

| 项目 | 110年3月31日 | 110年1月1日 |
|------|--------------|--------------|
| 非控制权益 | $ 344,353,858 | $ 344,353,858 |
| 总计 | $ 344,353,858 | $ 344,353,858 |

#### 母公司

| 项目 | 110年3月31日 | 110年1月1日 |
|------|--------------|--------------|
| 母公司 | $ 51,098,671 | $ 51,098,671 |
| 总计 | $ 51,098,671 | $ 51,098,671 |

#### 母公司之权益

| 项目 | 110年3月31日 | 110年1月1日 |
|------|--------------|--------------|
| 母公司之权益 | $ 395,452,529 | $ 395,452,529 |
| 总计 | $ 395,452,529 | $ 395,452,529 |

### 附注

#### 普通股股本

| 项目 | 111年3月31日 | 111年1月1日 |
|------|--------------|--------------|
| 普通股股本 | $ 66,313,982 | $ 66,313,982 |
| 总计 | $ 66,313,982 | $ 66,313,982 |

#### 法定盈余公积

| 项目 | 111年3月31日 | 111年1月1日 |
|------|--------------|--------------|
| 法定盈余公积 | $ 70,032,921 | $ 70,032,921 |
| 总计 | $ 70,032,921 | $ 70,032,921 |

#### 特别盈余公积

| 项目 | 111年3月31日 | 111年1月1日 |
|------|--------------|--------------|
| 特别盈余公积 | $ 72,145,718 | $ 72,145,718 |
| 总计 | $ 72,145,718 | $ 72,145,718 |

#### 未分配盈余

| 项目 | 111年3月31日 | 111年1月1日 |
|------|--------------|--------------|
| 未分配盈余 | $ 121,228,401 | $ 121,228,401 |
| 总计 | $ 121,228,401 | $ 121,228,401 |

#### 实现损益

| 项目 | 111年3月31日 | 111年1月1日 |
|------|--------------|--------------|
| 实现损益 | $ 9,270 | $ 9,270 |
| 总计 | $ 9,270 | $ 9,270 |

#### 非控制权益

| 项目 | 111年3月31日 | 111年1月1日 |
|------|--------------|--------------|
| 非控制权益 | $ 390,970,532 | $ 390,970,532 |
| 总计 | $ 390,970,532 | $ 390,970,532 |

#### 母公司

| 项目 | 111年3月31日 | 111年1月1日 |
|------|--------------|--------------|
| 母公司 | $ 53,010,422 | $ 53,010,422 |
| 总计 | $ 53,010,422 | $ 53,010,422 |

#### 母公司之权益

| 项目 | 111年3月31日 | 111年1月1日 |
|------|--------------|--------------|
| 母公司之权益 | $ 443,980,954 | $ 443,980,954 |
| 总计 | $ 443,980,954 | $ 443,980,954 |

### 附注

#### 普通股股本

| 项目 | 112年3月31日 | 112年1月1日 |
|------|--------------|--------------|
| 普通股股本 | $ 66,313,982 | $ 66,313,982 |
| 总计 | $ 66,313,982 | $ 66,313,982 |

#### 法定盈余公积

| 项目 | 
