### 财务报告

#### 111年3月31日
| 项目 | 金额 | 金额 | 金额 |
|------|------|------|------|
| 现金及现金等价物 | $ 6,669,623 | $ 6,257,744 | $ 5,733,649 |
| 通过损益按公允价值计量的金融资产 - 流动 | 35,032 | 140,012 | 2,344,521 |
| 通过其他综合损益按公允价值计量的金融资产 - 流动 | 232,071 | 250,405 | 199,376 |
| 按摊销后成本计量的金融资产 - 流动 | 391,274 | 943,630 | 4,169,835 |
| 应收票据及应收账款净额 | 10,264,884 | 10,316,266 | 7,475,676 |
| 应收账款 - 关联方净额 | - | 39 | 138 |
| 其他应收款 | 374,643 | 405,586 | 276,926 |
| 其他应收款 - 关联方 | 8,922 | 9,078 | 9,765 |
| 存货（附注十一） | 14,543,626 | 13,245,641 | 10,076,929 |
| 预付款项（附注十八及三二） | 160,160 | 195,793 | 698,338 |
| 其他流动资产 - 其他 | 12,650 | 18,039 | 86,314 |
| 流动资产总计 | 32,692,885 | 31,782,233 | 31,071,467 |

#### 111年3月31日
| 项目 | 金额 | 金额 | 金额 |
|------|------|------|------|
| 现金及现金等价物 | $ 799,518 | $ 841,636 | $ 895,990 |
| 通过损益按公允价值计量的金融资产 - 流动 | 10,590,923 | 11,567,228 | 10,479,272 |
| 通过其他综合损益按公允价值计量的金融资产 - 流动 | 1,294,371 | 1,053,040 | 1,232,708 |
| 按摊销后成本计量的金融资产 - 流动 | 71,779 | 110,169 | 70,005 |
| 应收票据及应收账款净额 | 2,283,065 | 2,295,178 | 1,900,567 |
| 应收账款 - 关联方净额 | 3,081 | - | 3,037 |
| 其他应收款 | 1,459,753 | 1,168,369 | 1,524,521 |
| 存货（附注十一） | 99,847 | 102,430 | 76,451 |
| 预付款项（附注十八及三二） | 216,031 | 213,367 | 167,950 |
| 其他流动资产 - 其他 | 10,594 | 11,075 | 10,360 |
| 流动资产总计 | 17,179,875 | 17,644,456 | 16,419,184 |

#### 111年3月31日
| 项目 | 金额 | 金额 | 金额 |
|------|------|------|------|
| 非流动资产 | 250,465 | 175,325 | - |
| 长期借款（附注十九、二九及三一） | 100,448 | 105,639 | - |
| 非流动负债 | 1,824,962 | 1,946,418 | 18,204,533 |
| 非流动负债总计 | 2,185,426 | 5 | 1,785,349 |
| 负债与权益总计 | $ 36,380,993 | $ 35,021,369 | $ 33,795,955 |

#### 111年3月31日
| 项目 | 金额 | 金额 | 金额 |
|------|------|------|------|
| 非流动资产 | 935,871 | 1,003,418 | 1,167,808 |
| 非流动负债 | 1,188,826 | 753,927 | 541,965 |
| 非流动负债总计 | 31,617 | 37,019 | 46,040 |
| 负债与权益总计 | $ 1,936,521 | $ 1,824,962 | $ 1,785,349 |

#### 111年3月31日
| 项目 | 金额 | 金额 | 金额 |
|------|------|------|------|
| 非流动资产 | 1,654,089 | 1,069,801 | 712,968 |
| 非流动负债 | 28,816 | 29,782 | 28,720 |
| 非流动负债总计 | 816 | 816 | - |
| 负债与权益总计 | $ 19,365,821 | $ 19,468,418 | $ 18,204,533 |

#### 111年3月31日
| 项目 | 金额 | 金额 | 金额 |
|------|------|------|------|
| 非流动资产 | 1,930 | 1,930 | 1,930 |
| 非流动负债 | 108,401 | 107,351 | 91,334 |
| 非流动负债总计 | 52,532 | 22,531 | 32,863 |
| 负债与权益总计 | $ 17,015,172 | $ 15,552,951 | $ 15,591,422 |

#### 111年3月31日
| 项目 | 金额 | 金额 | 金额 |
|------|------|------|------|
| 非流动资产 | 3,688,108 | 3,239,136 | 2,724,488 |
| 非流动负债 | 2,347,651 | 2,347,651 | 1,843,206 |
| 非流动负债总计 | 473,221 | 473,221 | 538,244 |
| 负债与权益总计 | $ 10,942,920 | $ 9,655,707 | $ 9,708,049 |

#### 111年3月31日
| 项目 | 金额 | 金额 | 金额 |
|------|------|------|------|
| 非流动资产 | 3,122,048 | 494,541 | 487,960 |
| 非流动负债 | 50,9
