### 财务报告

#### 111年3月31日（经审计）

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 现金及现金等价物 | $ 68,517,225 | $ 68,275,835 | $ 71,299,807 |
| 通过损益按公允价值计量的金融资产 | 7,630,388 | 775,988 | 899,847 |
| 按摊销后成本计量的金融资产 | 3,210 | 3,209 | 89,246 |
| 合同资产 | 585,370 | 654,423 | 1,938,584 |
| 应收票据 - 按净额 | 38,098,764 | 41,245,921 | 33,362,096 |
| 应收账款 - 按净额 | 625,284 | 458,316 | 265,373 |
| 其他应收款 | 12,035 | 12,139 | 12,156 |
| 存货 - 按净额 | 31,307,062 | 32,299,343 | 26,651,952 |
| 其他流动资产 | 2,813,798 | 2,564,888 | 2,539,271 |
| 流动资产总计 | 150,602,378 | 147,110,891 | 137,685,795 |

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 通过损益按公允价值计量的金融资产 | 1,114,359 | 2,090,852 | 2,723,876 |
| 通过其他综合损益按公允价值计量的金融资产 | 2,088,578 | 2,013,586 | 1,670,518 |
| 按摊销后成本计量的金融资产 | 291,604 | 289,411 | 297,967 |
| 采用权益法的投资 | 1,904,643 | 1,847,579 | 2,590,977 |
| 不动产、厂房及设备 - 按净额 | 19,313,388 | 18,889,587 | 18,440,640 |
| 使用权资产 - 按净额 | 1,732,553 | 1,717,650 | 1,431,543 |
| 投资性不动产 - 按净额 | 1,286,816 | 1,246,465 | 1,255,727 |
| 无形资产 - 按净额 | 3,667,019 | 3,675,676 | 4,594,045 |
| 预付费用 | 3,557,706 | 4,244,276 | 4,209,319 |
| 存出保证金 | 277,771 | 278,995 | 260,703 |
| 持有至到期投资 | 40,958 | 37,932 | 9,266 |
| 其他非流动资产 | 103,765 | 100,519 | 120,742 |
| 非流动资产总计 | 35,379,160 | 36,432,528 | 37,605,323 |

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 流动负债 | $ 27,303,888 | $ 28,385,043 | $ 18,411,646 |
| 通过损益按公允价值计量的金融负债 | 477,633 | 373,960 | 754,571 |
| 合同负债 | 233 | 98 | - |
| 应付票据 | 13 | 44 | 13,033 |
| 应付账款 | 44,646,325 | 46,659,415 | 43,916,269 |
| 应付账款 - 关联方 | 707 | 38,342 | 86,821 |
| 其他应付款 | 26,245,897 | 20,683,867 | 27,489,757 |
| 其他应付账款 - 关联方 | 493 | 1,705 | 12,146 |
| 本期所得税费用 | 7,471,418 | 7,263,027 | 7,177,861 |
| 负债准备 | 1,118,782 | 1,152,812 | 1,191,490 |
| 租赁负债 | 426,057 | 400,877 | 225,986 |
| 预收款 | 3,305,947 | 2,955,935 | 2,655,270 |
| 流动负债总计 | 110,997,393 | 107,915,125 | 101,952,850 |

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 非流动负债 | 1,915,754 | 1,878,663 | 1,562,734 |
| 租赁负债 - 关联方 | 722,289 | 743,516 | 551,558 |
| 存入保证金 | 146,614 | 132,988 | 96,694 |
| 非流动负债总计 | 2,784,657 | 2,754,767 | 2,210,986 |

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 负债总计 | 113,782,050 | 110,669,892 | 104,143,836 |

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 股本 | 23,508,670 | 23,508,670 | 23,508,670 |
| 普通股股本 | 21,932,661 | 21,896,342 | 21,613,574 |
| 保留盈余 | 15,613,679 | 15,613,679 |
