### 财务报告

#### 营业活动之现金流量

| 项目 | 111年1月1日 | 110年1月1日 |
|------|--------------|--------------|
| 本期税前净利 | $10,274,102 | $7,577,139 |
| 调整项目 | | |
| 收益费用项目 | | |
| 折旧费用 | (八)(九)(二十五) | 649,214 |
| 摊销费用 | (十)(二十五) | 138,522 |
| 预期信用减损损失 | | 41,279 |
| 通过损益按公允价值衡量之金融资产及负债之净损失(利益) | (二)(二十三) | 123,000 |
| 财务成本 | (二十四) | 19,047 |
| 利息收入 | (二十二) | (21,514) |
| 股利收入 | (二十三) | (237,261) |
| 股份基础给付酬劳成本 | (十五)(二十五) | 195,900 |
| 采用权益法认列之关联企业损益之份额 | (七) | 274,657 |
| 负分不产产、厂房及设备损失(利益) | (二十三) | 1,183 |
| 负分投资利益 | (二十三) | (409) |
| 减损损失 | (十)(二十三) | - |
| 与营业活动相关的资产/负债变动数 | | |
| 透过损益按公允价值衡量之金融资产 | 1,334,639 | 4,032,536 |
| 应收票据 | 506,553 | 291,341 |
| 应收帐款 | (2,971,533) | (1,336,454) |
| 应收帐款-关系人 | 1,996 | 27,181 |
| 其他应收款(含关系人) | (1,706) | 213 |
| 存货 | (2,420,630) | (4,776,022) |
| 其他流动资产 | (234,027) | (270,569) |
| 与营业活动相关的负债之净变动 | | |
| 透过损益按公允价值衡量之金融负债 | 12,757 | - |
| 合约负债-流动 | 213,729 | 232,633 |
| 应付票据及帐款 | (164,931) | (2,908,030) |
| 其他应付款 | (114,324) | 138,675 |
| 负债准备-流动 | 62,825 | 23,455 |
| 其他流动负债 | 65,767 | 93,182 |
| 其他非流动负债 | (111,192) | (39,176) |
| 营运产生之现金流入 | 7,088,329 | 9,008,589 |
| 收取之利息 | 21,514 | 32,795 |
| 收取之股利 | 237,261 | 161,913 |
| 支付之利息 | (18,840) | (641) |
| 支付之所得税 | (901,165) | (1,823,488) |
| 营业活动之净现金流入 | 6,427,099 | 7,379,168 |

#### 投资活动之现金流量

| 项目 | 111年1月1日 | 110年1月1日 |
|------|--------------|--------------|
| 取得按摊销后成本衡量之金融资产 | (36,072) | (4,013) |
| 负分按摊销后成本衡量之金融资产 | 58,926 | 29,420 |
| 取得透过损益按公允价值衡量之金融资产 | (547,168) | (810,524) |
| 负分透过其他综合损益按公允价值衡量之金融资产 | - | 16 |
| 取得采用权益法之投资 | (七) | (53,050) |
| 负分采用权益法之投资 | (七) | (390,404) |
| 取得关联企业之股利 | 940 | - |
| 取得不产产、厂房及设备 | 172,843 | 129,207 |
| 负分不产产、厂房及设备 | (849,134) | (680,285) |
| 存出保证金金增加 | 6,456 | 131,029 |
| 取得无形资产 | (10,343) | (3,093) |
| 负分无形资产 | (81,432) | (163,288) |
| 其他非流动资产(增加)减少 | (3,564) | 23 |
| 预付设备款增加 | (104,912) | (24,148) |
| 投资活动之净现金流出 | (1,446,510) | (1,786,060) |

#### 筹资活动之现金流量

| 项目 | 111年1月1日 | 110年1月1日 |
|------|--------------|--------------|
| 短期借款增加 | (二十九) | 304,184 |
| 贷借长期借款 | (二十九) | 110,500 |
| 存入保证金减少 | (九)(二十九) | (89) |
| 租赁本金偿还 | (十七) | (188,433) |
| 发放现金股利 | (十七) | (6,195,710) |
| 员工执行认股权 | 411,875 | 143,975 |
| 支付非控制权益现金股利 | (二十) | (40,607) |
| 子公司清算退回股款予非控制权益 | - | (70,649) |
| 非控制权益变动 | (二十)(二十八) | 2,004 |
| 筹资活动之净现金流出 | (5,596,276) | (5,681,098) |
| 汇率影响数 | 728,634 | 373,219 |
| 本期现金及约当现金增加(减少)数 | 112,947 | (461,209) |
| 期初现金及约当现金余额 | 9,301,152 | 7,497,442 |
| 期末现金及约当现金余额 | $9,414,099 | $7,036,233 |

### 财务报告附注

后附合併財務報表附註為本合併財務報告之一部分，請併同參閱。

董事長：劉克振
經理人：陳清熙
蔡淑妍
張家豪
會計主管：林佩瑾
