### (五) 非金融資産減損損失

| 项目 | 112年 | 111年 | 112年 | 111年 |
|------|------|------|------|------|
| 不動産、廠房及設備 | $ - | $ 17,157 | $ - | $ 17,157 |
| 依功能別彙總 | $ - | $ 17,157 | $ - | $ 17,157 |

### (六) 折舊及攤銷

| 项目 | 112年 | 111年 | 112年 | 111年 |
|------|------|------|------|------|
| 不動産、廠房及設備 | $ 7,413,781 | $ 8,009,453 | $ 22,992,722 | $ 24,617,401 |
| 使用權資產 | 378,182 | 358,170 | 1,121,920 | 986,309 |
| 投資性不動產 | 9,319 | 8,951 | 29,643 | 31,915 |
| 無形資產 | 51,832 | 52,949 | 151,465 | 161,323 |
| 其他 | 9,523 | 10,543 | 26,958 | 34,666 |
| 总计 | $ 7,862,637 | $ 8,440,066 | $ 24,322,708 | $ 25,831,614 |

### 折舊依功能別彙總

| 项目 | 112年 | 111年 | 112年 | 111年 |
|------|------|------|------|------|
| 營業成本 | $ 7,474,258 | $ 8,056,131 | $ 23,175,545 | $ 24,698,151 |
| 營業費用 | 316,268 | 313,135 | 942,604 | 915,032 |
| 其他 | 10,756 | 7,308 | 26,136 | 22,442 |
| 总计 | $ 7,801,282 | $ 8,376,574 | $ 24,144,285 | $ 25,635,625 |

### 攤銷依功能別彙總

| 项目 | 112年 | 111年 | 112年 | 111年 |
|------|------|------|------|------|
| 營業成本 | $ 37,376 | $ 42,514 | $ 110,488 | $ 134,137 |
| 營業費用 | 23,971 | 20,968 | 67,909 | 61,824 |
| 其他 | 8 | 10 | 26 | 28 |
| 总计 | $ 61,355 | $ 63,492 | $ 178,423 | $ 195,989 |

### (七) 員工福利費用

| 项目 | 112年 | 111年 | 112年 | 111年 |
|------|------|------|------|------|
| 7月1日至9月30日 | $ 6,274,007 | $ 7,036,261 | $ 21,991,692 | $ 25,556,523 |
| 短期員工福利 | $ 593,757 | $ 696,805 | $ 1,843,569 | $ 1,958,497 |
| 其他 | 343,055 | 333,629 | 1,059,360 | 1,246,604 |
| 总计 | $ 7,210,819 | $ 8,066,695 | $ 24,894,621 | $ 28,761,624 |

### 退職後福利

| 项目 | 112年 | 111年 | 112年 | 111年 |
|------|------|------|------|------|
| 確定提撥計畫 | $ 274,425 | $ 259,142 | $ 852,712 | $ 808,291 |
