### 财务报告

#### 112年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,612,814 | $ 27,521,145 | $ 26,545,618 |

#### 111年
| 项目 | 112年 | 111年 | 111年 |
|------|-------|-------|-------|
| 公允价值 | $ 27,
