由于图像中的内容是中文文本，无法直接提取表格数据。以下是对文本内容的分析和结构化输出：

### 文本内容分析

#### (四) 其他重大会计政策
- 所得税费用
  - 所得税费用系当期所得税及递延所得税之总和。期中期间之所得税系以年度为基础进行评估，以预期年度总盈余所适用之税率，就期中税前利益予以计算。

#### 五、重大会计判断、估计及假设不确定性之主要来源
- 合并公司于采用会计政策时，对于不易自其他来源取得相关资讯者，管理阶层必须基于历史经验及其他攸关之因素作出相关之判断、估计及假设。实际结果可能与估计有所不同。
- 合并公司于发展重大会计估计值时，将新型冠状病毒肺炎疫情近期之发展及对经济环境可能之影响，纳入对现金流量推估、成长率、折现率、获利能力等相关重大会计估计之考量，管理阶层将持续检视估计与基本假设。

#### (一) 金融资产之估计减损
- 应收帐款之估计减损係基于合并公司对于违约率及预期损失率之假设。合并公司考量历史经验、现时市场情况及前瞻性资讯，以作成假设并选择减损评估之输入值。所采用重要假设及输入值请参阅附注九。若未来实际现金流量少於预期，可能会产生重大减损损失。

### Markdown表格格式输出

由于图像中的内容是中文文本，无法直接提取表格数据。以下是对文本内容的分析和结构化输出：

#### 文本内容分析

#### (四) 其他重大会计政策
- 所得税费用
  - 所得税费用系当期所得税及递延所得税之总和。期中期间之所得税系以年度为基础进行评估，以预期年度总盈余所适用之税率，就期中税前利益予以计算。

#### 五、重大会计判断、估计及假设不确定性之主要来源
- 合并公司于采用会计政策时，对于不易自其他来源取得相关资讯者，管理阶层必须基于历史经验及其他攸关之因素作出相关之判断、估计及假设。实际结果可能与估计有所不同。
- 合并公司于发展重大会计估计值时，将新型冠状病毒肺炎疫情近期之发展及对经济环境可能之影响，纳入对现金流量推估、成长率、折现率、获利能力等相关重大会计估计之考量，管理阶层将持续检视估计与基本假设。

#### (一) 金融资产之估计减损
- 应收帐款之估计减损係基于合并公司对于违约率及预期损失率之假设。合并公司考量历史经验、现时市场情况及前瞻性资讯，以作成假设并选择减损评估之输入值。所采用重要假设及输入值请参阅附注九。若未来实际现金流量少於预期，可能会产生重大减损损失。
