### 财务报告

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月30日
| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 现金流量避险 | $ 805,616 | $ (805,616) | $ 1,276,398 |
| 资产负债表 | $ 1,276,398 | $ - | $ - |

#### 112年9月3
