### (二十七)利息收入

| 项目 | 112年7至9月 | 111年7至9月 |
|------|--------------|--------------|
| 银行存款利息 | $ 768,726 | $ 276,448 |
| 按摊销后成本衡量之金融资产利息收入 | 408,419 | 394,673 |
| 透过其他综合损益按公允价值衡量之金融资产利息收入 | 20,947 | 20,923 |
| 总计 | $ 1,198,092 | $ 692,044 |

| 项目 | 112年1至9月 | 111年1至9月 |
|------|--------------|--------------|
| 银行存款利息 | $ 2,324,099 | $ 625,010 |
| 按摊销后成本衡量之金融资产利息收入 | 1,059,427 | 978,957 |
| 透过其他综合损益按公允价值衡量之金融资产利息收入 | 59,373 | 53,026 |
| 总计 | $ 3,442,899 | $ 1,656,993 |

### (二十八)其他收入

| 项目 | 112年7至9月 | 111年7至9月 |
|------|--------------|--------------|
| 租金收入 | $ 231,373 | $ 223,443 |
| 股利收入 | 52,296 | 59,435 |
| 政府补助收入 | 109,106 | 154,968 |
| 什项收入 | 759,850 | 981,508 |
| 总计 | $ 1,152,625 | $ 1,419,354 |

| 项目 | 112年1至9月 | 111年1至9月 |
|------|--------------|--------------|
| 租金收入 | $ 671,893 | $ 648,335 |
| 股利收入 | 210,847 | 227,266 |
| 政府补助收入 | 462,226 | 516,412 |
| 租金减让收入 | - | 86,708 |
| 什项收入 | 2,345,029 | 2,269,526 |
| 总计 | $ 3,689,995 | $ 3,748,247 |
