### 财务报告子公司的持股比例

| 投资公司名称 | 子公司名称 | 业务性质 | 所持股权百分比 | 111年3月31日 | 110年12月31日 | 110年3月31日 | 說明 |
|--------------|------------|----------|----------------|--------------|--------------|--------------|------|
| 统一企业(股)公司 | Cayman President Holdings Ltd. | 经营专业投资业务 | 100.00 | 100.00 | 100.00 | 100.00 | — |
| 统一企业(股)公司 | 凯友投资(股)公司 | 经营专业投资业务 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 凯南投资(股)公司 | 经营专业投资业务 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | President Global Corp. | 进口速食麵、果汁罐头 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统上开发建设(股)公司 | 建筑业 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统义玻璃工业(股)公司 | 玻璃制品之製造及买卖等 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统一速邁自贩(股)公司 | 饮料、食品批發零售 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统一数网(股)公司 | 資訊業 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统一夢公園生活事业(股)公司 | 食品等銷售、一般廣告及旅遊諮詢服務業等 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统一棒球队(股)公司 | 職業棒球 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统流開發(股)公司 | 物流配送等 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统樂開發事業(股)公司 | 高爾夫球練習場等休閒娛樂事業 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统一生機開發(股)公司 | 米糧、蔬菜、茶、飲料等銷售 | 100.00 | 100.00 | 100.00 | 100.00 | （注2） |
| 统一企业(股)公司 | 统正開發(股)公司 | 購物中心、百貨公司及國際貿易業等 | 100.00 | 100.00 | 100.00 | 100.00 | （注2） |
| 统一企业(股)公司 | 统合開發(股)公司 | 休閒娛樂產業之经营管理 | 100.00 | 100.00 | 100.00 | 100.00 | （注2） |
| 统一企业(股)公司 | 南聯國際貿易(股)公司 | 經營貿易及相關之國內外買賣業務等 | 100.00 | 100.00 | 100.00 | 100.00 | （注2） |
| 统一企业(股)公司 | 统健實業(股)公司 | 健康食品銷售 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统一國際開發(股)公司 | 產業投資 | 76.70 | 76.70 | 76.70 | 76.70 | （注1） |
| 统一企业(股)公司 | 统一開發(股)公司 | 轉運站及附屬設施之營運 | 70.00 | 70.00 | 70.00 | 70.00 | （注2） |
| 统一企业(股)公司 | 德記洋行(股)公司 | 产品之行銷代理及物流等業務 | 65.40 | 65.40 | 65.40 | 65.40 | （注2） |

### 财务报告子公司的持股比例

| 投资公司名称 | 子公司名称 | 业务性质 | 所持股权百分比 | 111年3月31日 | 110年12月31日 | 110年3月31日 | 說明 |
|--------------|------------|----------|----------------|--------------|--------------|--------------|------|
| 统一企业(股)公司 | Cayman President Holdings Ltd. | 经营专业投资业务 | 100.00 | 100.00 | 100.00 | 100.00 | — |
| 统一企业(股)公司 | 凯友投资(股)公司 | 经营专业投资业务 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 凯南投资(股)公司 | 经营专业投资业务 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | President Global Corp. | 进口速食麵、果汁罐头 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统上开发建设(股)公司 | 建筑业 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统义玻璃工业(股)公司 | 玻璃制品之製造及买卖等 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统一速邁自贩(股)公司 | 饮料、食品批發零售 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统一数网(股)公司 | 資訊業 | 100.00 | 100.00 | 100.00 | 100.00 | （注1） |
| 统一企业(股)公司 | 统一夢公園生活事业(股)公司 | 食品等銷售、一般廣告及旅遊諮詢服務業等 | 
