### (二) 公允价值資訊－以重複性基礎按公允價值衡量之金融工具

#### 1. 公允價值層級

| 项目 | 112年9月30日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 透過損益按公允價值衡量之金融資產 | | | |
| 基金受益憑證 | $ 3,263,661 | $ 2,411,582 | $ 2,445,691 |
| 未上市（權）股票 | - | - | - |
| 興櫃股票 | - | - | - |
| 上市（權）股票 | 102,894 | 79,627 | 122,120 |
| 可轉換公司債 | 148,893 | 41,130 | - |
| 可轉換公司債贖回權及賣回權淨額 | - | - | - |
| 合計 | $ 3,515,448 | $ 2,532,339 | $ 3,498,621 |
| 透過其他綜合損益按公允價值衡量之金融資產 | | | |
| 國外未上市股票及權利證書 | $ - | $ - | $ 34,453,691 |
| 國內上市（權）股票 | 16,133,006 | 14,566,871 | - |
| 國內興櫃及未上市（權）股票 | - | - | 2,840,285 |
| 國外上市股票 | 2,638,944 | 2,046,926 | - |
| 公司債 | 199,701 | 135,926 | - |
| 合計 | $ 18,971,651 | $ 16,749,723 | $ 37,293,976 |
| 透過其他綜合損益按公允價值衡量之金融負債 | | | |
| 遠期外匯合約 | $ - | $ - | $ 5,855 |
| 合計 | $ - | $ - | $ 5,855 |

#### 2. 金融工具的公允價值層級

| 项目 | 112年9月30日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 透過損益按公允價值衡量之金融資產 | | | |
| 基金受益憑證 | $ 3,263,661 | $ 2,411,582 | $ 2,445,691 |
| 未上市（權）股票 | - | - | - |
| 興櫃股票 | - | - | - |
| 上市（權）股票 | 102,894 | 79,627 | 122,120 |
| 可轉換公司債 | 148,893 | 41,130 | - |
| 可轉換公司債贖回權及賣回權淨額 | - | - | - |
| 合計 | $ 3,515,448 | $ 2,532,339 | $ 3,498,621 |
| 透過其他綜合損益按公允價值衡量之金融資產 | | | |
| 國外未上市股票及權利證書 | $ - | $ - | $ 34,453,691 |
| 國內上市（權）股票 | 16,133,006 | 14,566,871 | - |
| 國內興櫃及未上市（權）股票 | - | - | 2,840,285 |
| 國外上市股票 | 2,638,944 | 2,046,926 | - |
| 公司債 | 199,701 | 135,926 | - |
| 合計 | $ 18,971,651 | $ 16,749,723 | $ 37,293,976 |
| 透過其他綜合損益按公允價值衡量之金融負債 | | | |
| 遠期外匯合約 | $ - | $ - | $ 5,855 |
| 合計 | $ - | $ - | $ 5,855 |

#### 3. 金融工具的公允價值層級

| 项目 | 112年9月30日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 透過損益按公允價值衡量之金融資產 | | | |
| 基金受益憑證 | $ 3,263,661 | $ 2,411,582 | $ 2,445,691 |
| 未上市（權）股票 | - | - | - |
| 興櫃股票 | - | - | - |
| 上市（權）股票 | 102,894 | 79,627 | 122,120 |
| 可轉換公司債 | 148,893 | 41,130 | - |
| 可轉換公司債贖回權及賣回權淨額 | - | - | - |
| 合計 | $ 3,515,448 | $ 2,532,339 | $ 3,498,621 |
| 透過其他綜合損益按公允價值衡量之金融資產 | | | |
| 國外未上市股票及權利證書 | $ - | $ - | $ 34,453,691 |
| 國內上市（權）股票 | 16,133,006 | 14,566,871 | - |
| 國內興櫃及未上市（權）股票 | - | - | 2,840,285 |
| 國外上市股票 | 2,638,944 | 2,046,926 | - |
| 公司債 | 199,701 | 135,926 | - |
| 合計 | $ 18,971,651 | $ 16,749,723 | $ 37,293,976 |
| 透過其他綜合損益按公允價值衡量之金融負債 | | | |
| 遠期外匯合約 | $ - | $ - | $ 5,855 |
| 合計 | $ - | $ - | $ 5,855 |
