### 财务报告表格数据输出

#### Markdown表格格式

| 编号 | 投资公司名稱 | 子公司名稱 | 業務性質 | 合併所持股權百分比 |
|------|--------------|------------|----------|---------------------|
| 19.  | DHK          | 台達電子企業管理(上海)有限公司(台達企管) | 產品外觀設計之技術服務及管理諮詢及各類電子產品分銷等業務 | 100.00 100.00 100.00 |
| 20.  | "           | 中達電子(江蘇)有限公司(中達江蘇) | 經營變壓器及電源供應器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 |
| 21.  | "           | 中達電子(蕪湖)有限公司(中達蕪湖) | 經營LED燈源及電源供應器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 |
| 22.  | "           | 台達電子(郴州)有限公司(台達電子郴州) | 經營變壓器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 |
| 23.  | "           | 華豐電子科技(蕪湖)有限公司(華豐蕪湖) | 技術服務、技術開發、技術諮詢、技術交流、技術轉讓、技術推廣；電子元器件製造；電子元器件批發；電子元器件零售；模具製造；模具銷售；鍛件及粉末冶金製品製造；鍛件及粉末冶金製品銷售、貨物進出口；技術進出口 | 100.00 100.00 100.00 |
| 24.  | DHK、DIH    | Delta Electronics International Mexico S.A. DE C.V. (DEIL-MX) | 工業自動化產品及通訊設備用電源管理系統之銷售 | 100.00 100.00 100.00 (注1) (注2) (注6) |
| 25.  | DHK          | 達而泰(天津)實業有限公司(達而泰) | 經營電壓控制器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 (注1) (注2) |
| 26.  | "           | 台達電子(平潭)有限公司(台達電子平潭) | 電子產品、節能設備批發銷售等 | 100.00 100.00 100.00 (注1) (注2) |
| 27.  | DEJ          | Addtron Technology (Japan), Inc. (AT Japan) | 電腦網路及週邊設備之買賣 | 100.00 100.00 100.00 (注1) (注2) |

#### 文本输出

| 编号 | 投资公司名稱 | 子公司名稱 | 業務性質 | 合併所持股權百分比 |
|------|--------------|------------|----------|---------------------|
| 19.  | DHK          | 台達電子企業管理(上海)有限公司(台達企管) | 產品外觀設計之技術服務及管理諮詢及各類電子產品分銷等業務 | 100.00 100.00 100.00 |
| 20.  | "           | 中達電子(江蘇)有限公司(中達江蘇) | 經營變壓器及電源供應器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 |
| 21.  | "           | 中達電子(蕪湖)有限公司(中達蕪湖) | 經營LED燈源及電源供應器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 |
| 22.  | "           | 台達電子(郴州)有限公司(台達電子郴州) | 經營變壓器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 |
| 23.  | "           | 華豐電子科技(蕪湖)有限公司(華豐蕪湖) | 技術服務、技術開發、技術諮詢、技術交流、技術轉讓、技術推廣；電子元器件製造；電子元器件批發；電子元器件零售；模具製造；模具銷售；鍛件及粉末冶金製品製造；鍛件及粉末冶金製品銷售、貨物進出口；技術進出口 | 100.00 100.00 100.00 |
| 24.  | DHK、DIH    | Delta Electronics International Mexico S.A. DE C.V. (DEIL-MX) | 工業自動化產品及通訊設備用電源管理系統之銷售 | 100.00 100.00 100.00 (注1) (注2) (注6) |
| 25.  | DHK          | 達而泰(天津)實業有限公司(達而泰) | 經營電壓控制器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 (注1) (注2) |
| 26.  | "           | 台達電子(平潭)有限公司(台達電子平潭) | 電子產品、節能設備批發銷售等 | 100.00 100.00 100.00 (注1) (注2) |
| 27.  | DEJ          | Addtron Technology (Japan), Inc. (AT Japan) | 電腦網路及週邊設備之買賣 | 100.00 100.00 100.00 (注1) (注2) |
