```markdown
| 投資公司名稱 | 子公司名稱 | 業務性質 | 所持股權百分比或出資比例 | 110年12月31日 | 110年12月31日 | 110年3月31日 | 備註 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 上海楊浦和凌雷克薩斯汽車銷售服務有限公司 | 上海和康設備租賃有限公司 | 租賃業務 | 30.00 | 30.00 | - | 註1.10 |
| 和展投資有限公司 | 和運租車股份有限公司 | 小客車租賃業務 | 66.04 | 66.04 | 66.04 | 註2 |
| 和展投資有限公司 | 和潤企業股份有限公司 | 各種車輛之分期買賣及租賃業務 | 45.39 | 45.39 | 45.39 | 註1.7 |
| 和展投資有限公司 | 和泰產物保險股份有限公司 | 各項產物保險業務 | 99.80 | 99.80 | 99.80 | 註1.7 |
| 和展投資有限公司 | 和勁行銷股份有限公司 | 精品零售批發 | - | - | 100.00 | 註11 |
| 和泰聯網股份有限公司 | 和泰移動服務股份有限公司 | 計程車派遣業務 | 41.10 | 41.10 | 60.00 | 註1.7 |
| 和潤企業股份有限公司 | 和泰移動服務股份有限公司 | 計程車派遣業務 | 27.40 | 27.40 | 40.00 | 註1.7 |
| 和泰移動服務股份有限公司 | 泉安交通股份有限公司 | 計程車服務 | 100.00 | 100.00 | 100.00 | 註1.7 |
| 和泰移動服務股份有限公司 | 裕城交通股份有限公司 | 計程車服務 | 100.00 | 100.00 | 100.00 | 註1.7 |
| 和潤企業股份有限公司 | Hoyun International Limited | 一般投資業務 | 50.50 | 50.50 | 50.50 | 註1 |
| 和運租車股份有限公司 | Hoyun International Limited | 一般投資業務 | 49.50 | 49.50 | 49.50 | 註1 |
| 和潤企業股份有限公司 | 和雲行動服務股份有限公司 | 小客車租賃業務 | 50.82 | 50.82 | 50.82 | 註1.4 |
| 和泰聯網股份有限公司 | 和雲行動服務股份有限公司 | 小客車租賃業務 | 49.18 | 49.18 | 49.18 | 註1.4 |
| 和潤企業股份有限公司 | 和勁企業股份有限公司 | 汽車之分期買賣業務 | 81.00 | 81.00 | - | 註10 |
| 和潤企業股份有限公司 | 和潤電能股份有限公司 | 太陽能發電相關業務 | 80.00 | - | - | 註15 |
| Hoyun International Limited | 和運國際租賃有限公司 | 汽車租賃、批發、零售及支援服務 | 100.00 | 100.00 | 100.00 | 註8 |
| 和運國際租賃有限公司 | 和運(上海)商業保理有限公司 | 保理業務 | 100.00 | 100.00 | 100.00 | 註8 |
| 和運國際租賃有限公司 | 和運(上海)汽車租賃有限公司 | 汽車租賃業務 | 100.00 | 100.00 | - | 註8 |
| 和泰興業股份有限公司 | Ichiban International Co., Ltd. | 一般投資業務 | 100.00 | 100.00 | 100.00 | 註8 |
| 和泰豐田物料運搬股份有限公司 | 上海和乾物流設備貿易有限公司 | 產業用車輛及配件之銷售服務 | 100.00 | 100.00 | 100.00 | 註8 |
| 和泰興業股份有限公司 | 和泰服務行銷股份有限公司 | 空調設備維修及零件買賣 | 100.00 | 100.00 | 100.00 | 註8 |
| 和泰興業股份有限公司 | 和泰冷凍空調器材股份有限公司 | 買賣空調設備周邊配件 | 100.00 | 100.00 | 100.00 | 註8 |
| 和泰興業股份有限公司 | 興昊物流股份有限公司 | 汽車貨運 | 51.00 | 51.00 | 51.00 | 註12 |
| 興昊物流股份有限公司 | 隆昊起重工程有限公司 | 起重工程、運輸倉儲 | - | - | 100.00 | 註12 |
| 興昊物流股份有限公司 | 和泰運輸有限公司 | 汽車貨運 | 100.00 | 100.00 | 100.00 | 註12 |
| 興昊物流股份有限公司 | 和泰起重工程有限公司 | 汽車貨運 | - | - | 100.00 | 註12 |
| 興昊物流股份有限公司 | 隆和起重工程有限公司 | 起重工程、運輸倉儲 | - | - | 100.00 | 註12 |
| 興昊物流股份有限公司 | 興昊搬家貨運有限公司 | 汽車貨運 | 100.00 | 100.00 | 100.00 | 註12 |
```
