```markdown
| 投资公司名称 | 子公司名称 | 业务性质 | 所持股权限百分比 |
| --- | --- | --- | --- |
| E-One Holdings Ltd. | E-One Moli Holdings (Canada) Ltd. | 投资控股 | 100.0 |
| E-One Moli Holdings (Canada) Ltd. | E-One Moli Energy (Canada) Ltd. | 电池研究开发及销售 | 100.0 |
| TCCIH | 隆昌投资有限公司 | 投资控股 | 100.0 |
| TCCIH | Upper Value Investments Ltd. (UPPV) | 投资控股 | 100.0 |
| TCCIH | TCC Hong Kong Cement (BVI) Holdings Ltd. | 投资控股 | 100.0 |
| TCCIH | Ulexite Investments Ltd. | 投资控股 | 100.0 |
| TCCIH | 台泥循环能源公司 | 投资控股 | 38.7 |
| 隆昌投资有限公司 | Prime York Ltd. | 投资控股 | 100.0 |
| 隆昌投资有限公司 | Prosperity Minerals (International) Ltd. | 投资控股 | 100.0 |
| TCC Hong Kong Cement (BVI) Holdings Ltd. | TCC Hong Kong Cement Development Ltd. | 投资控股 | 100.0 |
| TCC Hong Kong Cement (BVI) Holdings Ltd. | TCC Hong Kong Cement (QHC) Ltd. | 投资控股 | 100.0 |
| TCC Hong Kong Cement (BVI) Holdings Ltd. | TCC Hong Kong Cement (Yargoon) Ltd. | 投资控股 | 100.0 |
| TCC Hong Kong Cement (BVI) Holdings Ltd. | TCC Hong Kong Cement (Philippines) Ltd. | 投资控股 | 100.0 |
| TCC Hong Kong Cement (BVI) Holdings Ltd. | TCC Hong Kong Cement (International) Ltd. | 投资控股 | 100.0 |
| TCC Hong Kong Cement (BVI) Holdings Ltd. | Hong Kong Cement Company Limited (HKCCL) | 水泥买卖 | 100.0 |
| TCC Hong Kong Cement (QHC) Ltd. | Chiefolk Company Ltd. | 投资控股 | 70.0 |
| Chiefolk Company Ltd. | TCC International (Liuzhou) Ltd. | 投资控股 | 100.0 |
| TCC International (Liuzhou) Ltd. | TCC Liuzhou Company Ltd. | 投资控股 | 100.0 |
| TCC Liuzhou Company Ltd. | 柳州台泥新型建材有限公司 | 製造及分销石膏粉 | 60.0 |
| TCC Hong Kong Cement (Philippines) Ltd. | TCC Cement Corp. | 提供水泥处理服务 | 100.0 |
| TCC Hong Kong Cement (International) Ltd. | TCC International (Hong Kong) Co., Ltd. (TCCI (HK)) | 投资控股 | 100.0 |
| TCCI (HK) | 香港台泥矿业有限公司 | 水泥制造及分销 | 52.5 |
| TCCI (HK) | Jiangsu TCC Investment Co., Ltd. | 投资控股 | 100.0 |
| TCCI (HK) | Jingyang Industrial Limited | 投资控股 | 100.0 |
| TCCI (HK) | TCC International (Guangxi) Ltd. | 投资控股 | 100.0 |
| TCCI (HK) | 台泥（韶关）水泥有限公司 | 水泥制造及分销 | 100.0 |
| TCCI (HK) | 英德台泥矿业有限公司 | 水泥制造及分销 | 48.9 |
| TCCI (HK) | 台泥（英德）水泥有限公司 | 水泥制造及分销 | 100.0 |
| TCCI (HK) | 江苏台泥矿业有限公司 | 水泥制造及分销 | 100.0 |
| TCCI (HK) | 福州台泥洋礁码头有限公司 | 提供码头设施服务 | 100.0 |
| TCCI (HK) | 台泥（东莞）水泥有限公司 | 水泥制造及分销 | 100.0 |
| TCCI (HK) | 福州台泥水泥有限公司 | 水泥制造及分销 | 100.0 |
| TCCI (HK) | 台泥（怀化）水泥有限公司 | 水泥制造及分销 | 31.0 |
| TCCI (HK) | 台泥（杭州）环保科技有限公司（台泥（杭州）环保公司） | 环保、水泥、企业管理 | 58.6 |
| Jiangsu TCC Investment Co., Ltd. | 句容台泥水泥有限公司 | 水泥制造及分销 | 21.5 |
| Jiangsu TCC Investment Co., Ltd. | 句容台泥环保有限公司 | 危险废物处理 | 21.5 |
| Jingyang Industrial Limited | 句容台泥水泥有限公司 | 水泥制造及分销 | 78.5 |
| Jingyang Industrial Limited | 句容台泥环保有限公司 | 危险废物处理 | 78.5 |
| TCC International (Guangxi) Ltd. | 台泥（贵港）水泥有限公司（台泥贵港公司） | 水泥制造及分销 | 100.0 |
```
