```markdown
# 中華電信股份有限公司及其子公司

## 全年資產負債表

### 民國 112 年 9 月 30 日及民國 111 年 12 月 31 日及 9 月 30 日

### 單位：新台幣仟元

| 代 碼 | 資 產 | 金 額 | % | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 流動資產 |  |  |  |  |  |  |  |
| 1100 | 現金及約當現金（附註六） | $32,005,368 | 7 | $50,192,604 | 10 | $32,898,094 | 7 |
| 1110 | 透過損益按公允價值衡量之金融資產（附註七） | 414 | - | 3,953 | - | 4,203 | - |
| 1139 | 避險之金融資產（附註二十） | 12,891 | - | 12,752 | - | - | - |
| 1140 | 合約資產（附註二九） | 6,727,095 | 1 | 6,055,343 | 1 | 5,702,487 | 1 |
| 1170 | 應收票據及帳款淨額（附註九及二九） | 21,514,962 | 5 | 24,672,473 | 5 | 22,278,929 | 4 |
| 1180 | 應收關係人款項（附註三七） | 101,194 | - | 75,061 | - | 107,116 | - |
| 130X | 存貨（附註十） | 12,363,787 | 2 | 11,316,406 | 2 | 12,336,979 | 2 |
| 1410 | 預付款項（附註十一） | 5,556,000 | - | 2,398,608 | - | 5,110,205 | 1 |
| 1476 | 其他金融資產（附註十二） | 12,326,502 | 2 | 3,618,902 | 1 | 4,361,591 | 1 |
| 1480 | 取得合約之增額成本（附註二九） | 95,066 | - | - | - | - | - |
| 1479 | 其他流動資產（附註十八、十九及三八） | 4,205,048 | - | 3,555,423 | - | 4,007,887 | 1 |
| 11XX | 流動資產總計 | 96,905,433 | 20 | 101,901,664 | 20 | 86,820,243 | 17 |

| 非流動資產 |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1510 | 透過損益按公允價值衡量之金融資產（附註七） | 6,052,412 | - | 1,020,203 | - | 1,050,714 | - |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產（附註八） | 4,054,015 | 1 | 3,491,381 | 1 | 3,484,018 | 1 |
| 1550 | 採用權益法之投資（附註十四） | 7,218,915 | 1 | 7,155,851 | 1 | 7,200,176 | 1 |
| 1560 | 合約資產（附註二九） | 3,526,053 | 1 | 3,136,801 | 1 | 2,966,660 | 1 |
| 1600 | 不動產、廠房及設備（附註十五、三四、三七及三八） | 287,207,522 | 56 | 291,527,910 | 56 | 286,300,996 | 57 |
| 1755 | 使用權資產（附註十六及三七） | 11,186,658 | 2 | 11,102,549 | 2 | 11,234,158 | 2 |
| 1760 | 投資性不動產（附註十七） | 10,146,675 | 2 | 9,803,861 | 2 | 9,707,458 | 2 |
| 1780 | 無形資產（附註十八及三七） | 74,276,660 | 15 | 79,187,087 | 15 | 80,794,433 | 16 |
| 1840 | 遞延所得稅資產（附註三） | 2,109,348 | - | 2,196,645 | - | 2,615,752 | 1 |
| 1955 | 取得合約之增額成本（附註二九） | 936,516 | - | 979,914 | - | 967,012 | - |
| 1975 | 淨確定福利資產（附註三） | 5,720,111 | 1 | 5,265,721 | 1 | 3,901,443 | 1 |
| 1985 | 預付款項（附註十一及三九） | 3,175,536 | 1 | 1,728,277 | - | 1,922,374 | - |
| 1990 | 其他非流動資產（附註十九、三八及三九） | 4,686,883 | 1 | 4,705,624 | 1 | 4,624,803 | 1 |
| 15XX | 非流動資產總計 | 415,297,224 | 81 | 421,301,824 | 80 | 416,769,997 | 83 |

| 1XXX | 資 產 總 計 | $512,202,657 | 100 | $523,203,488 | 100 | $503,590,240 | 100 |

| 代 碼 | 負 債 及 權 益 |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 流動負債 |  |  |  |  |  |  |  |
| 2100 | 短期借款（附註二一） | $820,000 | - | $722,000 | - | $592,000 | - |
| 2120 | 透過損益按公允價值衡量之金融負債（附註七） | 2,485 | - | - | - | - | - |
|
