1. **文件类型**：财务报表
2. **公司名称**：无法从图片中直接获取公司名称，但可以推测这是一家上市公司，因为文件中包含了每股盈余、加权平均流通在外股数等财务数据。

3. **财务数据摘要**：

   - **110年7月1日至9月30日**：
     - **基本每股盈余**：$2.45
     - **稀释每股盈余**：$2.44
     - **加权平均流通在外股数**：2,597,543
     - **每股盈余**：$2.44

   - **111年1月1日至9月30日**：
     - **基本每股盈余**：$9.53
     - **稀释每股盈余**：$9.49
     - **加权平均流通在外股数**：2,597,543
     - **每股盈余**：$9.49

   - **110年1月1日至9月30日**：
     - **基本每股盈余**：$7.91
     - **稀释每股盈余**：$7.88
     - **加权平均流通在外股数**：2,597,543
     - **每股盈余**：$7.88

这些数据表明，公司在不同时间段的每股盈余有所波动，但总体上呈现出增长的趋势。
