```markdown
|  | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|---|---|---|---|
| (2)其他應收關係人款項： | | | |
| －關聯企業 | $161,862 | $160,044 | $173,464 |
| －主要管理階層控制之個體 | 6,247 | 6,722 | 7,564 |
| | $168,109 | $166,766 | $181,028 |
| (3)應付帳款： | | | |
| －關聯企業 | $1,296,156 | $1,228,040 | $1,570,872 |
| －主要管理階層控制之個體 | 3,617,290 | 3,565,396 | 5,267,867 |
| | $4,913,446 | $4,793,436 | $6,838,739 |
| (4)應付費用及其他應付款： | | | |
| －關聯企業 | $253,777 | $221,742 | $228,882 |
| －主要管理階層控制之個體 | 63 | 1,336 | 1,067 |
| | $253,840 | $223,078 | $229,949 |
| (5)應付佣金： | | | |
| －主要管理階層控制之個體 | 和安 | | |
| | $88,991 | $93,342 | $72,670 |
| 4.預付貨款 | | | |
| | 111年3月31日 | 110年12月31日 | 110年3月31日 |
| 主要管理階層控制之個體 | $363,151 | $296,912 | $336,342 |
| 5.財產交易 | | | |
| 購置出租資產及設備： | | | |
| | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
| －關聯企業 | 國都 | $893,188 | $731,077 |
| | 中部 | 398,855 | 298,392 |
| | 北都 | 542,970 | 302,045 |
| | 桃苗 | 300,269 | 230,220 |
| | 其他 | 370,806 | 371,013 |
| －主要管理階層控制之個體 | | 1,898 | 6,070 |
| | $2,507,986 | $1,938,817 | |
| 6.租賃交易－承租人 | | | |
| 本集團依一般市場行情與關係人簽訂租賃合約，並依合約按月支付租金。 | | | |
```
