```markdown
# 三一、金融工具

## (一) 公允價值之資訊－以重複性基礎按公允價值衡量之金融工具

### 1. 公允價值層級

#### 112年3月31日

|  | 第1級 | 第2級 | 第3級 | 合計 |
|---|---|---|---|---|
| 透過損益按公允價值衡量之金融資產 | | | | |
| 基金受益憑證 | $365,467 | $ | $ | $365,467 |
| 國內及國外未上市（櫃）公司股票 | - | - | 108,102 | 108,102 |
| 合計 | $365,467 | $ | $108,102 | $473,569 |

#### 透過其他綜合損益按公允價值衡量之金融資產

|  | 第1級 | 第2級 | 第3級 | 合計 |
|---|---|---|---|---|
| 權益工具投資 | | | | |
| 國內及國外上市（櫃）及興櫃公司股票 | $258,238 | $ | $ | $258,238 |
| 國外未上市（櫃）公司股票 | - | - | 22,472 | 22,472 |
| 合計 | $258,238 | $ | $22,472 | $280,710 |

#### 111年12月31日

|  | 第1級 | 第2級 | 第3級 | 合計 |
|---|---|---|---|---|
| 透過損益按公允價值衡量之金融資產 | | | | |
| 基金受益憑證 | $218,035 | $ | $ | $218,035 |
| 國內及國外未上市（櫃）公司股票 | - | - | 108,999 | 108,999 |
| 合計 | $218,035 | $ | $108,999 | $327,034 |

#### 透過其他綜合損益按公允價值衡量之金融資產

|  | 第1級 | 第2級 | 第3級 | 合計 |
|---|---|---|---|---|
| 權益工具投資 | | | | |
| 國內及國外上市（櫃）及興櫃公司股票 | $183,224 | $ | $ | $183,224 |
| 國外未上市（櫃）公司股票 | - | - | 22,472 | 22,472 |
| 合計 | $183,224 | $ | $22,472 | $205,696
```
