```markdown
# 111年

|  | 商譽 | 客戶關係 | 其他無形資產 | 合計 |
|---|---|---|---|---|
| 1月1日 | | | | |
| 成本 | $662,323 | $527,106 | $428,664 | $1,618,093 |
| 累計攤銷及減損 | | (87,119) | (233,235) | (320,354) |
| | $662,323 | $439,987 | $195,429 | $1,297,739 |
| 1月1日 | | | | |
| 增添－單獨取得 | | | 4,332 | 4,332 |
| 攤銷費用 | | (4,392) | (15,708) | (20,100) |
| 淨兌換差額 | | | 367 | 367 |
| 3月31日 | $662,323 | $435,595 | $184,420 | $1,282,338 |
| 3月31日 | | | | |
| 成本 | $662,323 | $527,106 | $430,962 | $1,620,391 |
| 累計攤銷及減損 | | (91,511) | (246,542) | (338,053) |
| | $662,323 | $435,595 | $184,420 | $1,282,338 |

## 無形資產攤銷明細如下：

|  | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|---|---|---|
| 營業費用 | $19,092 | $20,100 |

## (十六)其他資產

|  | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|---|---|---|---|
| 長期應收款(含長期應收 | | | |
| 票據及款項) | $10,560,656 | $9,393,146 | $5,225,025 |
| 再保險合約資產 | 1,307,938 | 1,201,796 | 789,651 |
| 營業保證金 | 4,200,300 | 4,200,300 | 300,300 |
| 存出保證金 | 635,855 | 571,701 | 498,761 |
| 預付設備款 | 403,849 | 267,094 | 106,814 |
| 其他 | 1,782,086 | 1,749,485 | 1,557,140 |
| | $18,890,684 | $17,383,522 | $8,477,691 |

## 民國111年度因子公司和泰產險辦理現金增資$26,000,000，而增加提存營業保證金$3,900,000，請詳附註六(三)2。

## (十七)短期借款

|  | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|---|---|---|---|
| 銀行借款 | | | |
| 信用借款 | $78,252,622 | $72,785,881 | $66,436,531 |
| 抵押借款 | 6,683,555 | 7,500,000 | 2,400,000 |
| 充實中期營運資金聯貸案 | 24,041,616 | 25,047,716 | 1,508,252 |
| | $108,977,793 | $105,333,597 | $70,344,783 |
| 年利率 | 0.57%～5.36% | 0.55%～5.59% | 0.52%～4.75% |
```
