長榮海運股份有限公司及子公司
綜合損益表
民國112年及111年1月1日至9月30日

單位：新台幣仟元
（除每股盈餘為新台幣元外）

| 項目 | 附註 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|------|----------------------|----------------------|----------------------|----------------------|
| 4000 | 營業收入 | $ 72,812,414 | 100 | $ 170,433,361 | 100 | $ 207,023,679 | 100 | $ 516,257,233 | 100 |
| 5000 | 營業成本 | ( 60,403,466) | ( 83) | ( 57,314,868) | ( 34) | ( 166,018,073) | ( 80) | ( 163,346,284) | ( 32) |
| 5900 | 營業毛利 | 12,408,948 | 17 | 113,118,493 | 66 | 41,005,606 | 20 | 352,910,949 | 68 |
| 5910 | 未實現銷貨利益 | - | - | - | - | - | - | - | - |
| 5920 | 已實現銷貨利益 | 5,247 | - | 5,247 | - | 15,742 | - | 15,705 | - |
| 5950 | 營業毛利淨額 | 12,414,195 | 17 | 113,123,740 | 66 | 41,021,348 | 20 | 352,913,462 | 68 |
| 營業費用 | | | | | | | | | |
| 6100 | 推銷費用 | ( 761,482) | ( 1) | ( 663,895) | - | ( 2,289,469) | ( 1) | ( 1,926,377) | - |
| 6200 | 管理費用 | ( 3,312,271) | ( 5) | ( 3,428,139) | ( 2) | ( 9,755,157) | ( 5) | ( 9,869,631) | ( 2) |
| 6450 | 預期信用減損利益(損失) | ( 5,824) | - | 136 | - | ( 5,534) | - | 53 | - |
| 6000 | 營業費用合計 | ( 4,079,577) | ( 6) | ( 4,091,898) | ( 2) | ( 12,050,160) | ( 6) | ( 11,795,955) | ( 2) |
| 6500 | 其他收益及費損淨額 | 425,627 | 1 | 217,985 | - | 1,057,990 | 1 | 864,969 | - |
| 6900 | 營業利益 | 8,760,245 | 12 | 109,249,827 | 64 | 30,029,178 | 15 | 341,982,476 | 66 |
| 營業外收入及支出 | | | | | | | | | |
| 7100 | 利息收入 | 3,880,921 | 6 | 1,992,773 | 1 | 11,539,497 | 6 | 2,944,746 | 1 |
| 7010 | 其他收入 | 5,108,053 | 7 | 115,345 | - | 5,468,948 | 3 | 434,175 | - |
| 7020 | 其他利益及損失 | 7,254,253 | 10 | 5,314,513 | 3 | 8,948,682 | 4 | 8,947,032 | 2 |
| 7050 | 財務成本 | ( 1,449,996) | ( 2) | ( 835,788) | - | ( 3,593,989) | ( 2) | ( 2,335,155) | ( 1) |
| 7060 | 採用權益法認列之關聯企業及合資損益之份額 | 1,642,494 | 2 | 2,415,914 | 2 | 5,246,674 | 2 | 8,980,909 | 2 |
| 7000 | 營業外收入及支出合計 | 16,435,725 | 23 | 9,002,757 | 6 | 27,609,812 | 13 | 18,971,707 | 4 |
| 7900 | 稅前淨利 | 25,195,970 | 35 | 118,252,584 | 70 | 57,638,990 | 28 | 360,954,183 | 70 |
| 7950 | 所得稅費用 | ( 2,141,164) | ( 3) | ( 15,234,014) | ( 9) | ( 21,789,488) | ( 11) | ( 46,270,951) | ( 9) |
| 8200 | 本期淨利 | $ 23,054,806 | 32 | $ 103,018,570 | 61 | $ 35,849,502 | 17 | $ 314,683,232 | 61 |
