(三)部門資訊

112年1月1日至3月31日

| 部門 | 化一部 | 化二部 | 化三部 | 塑膠部 | 福懋公司 | 綠能部門 | 其他部門 | 調整及沖銷 | 合計 |
|------|--------|--------|--------|--------|--------|--------|--------|--------|------|
| 來自公司以外客戶之收入 | $16,200,107 | $14,160,127 | $14,233,775 | $21,495,371 | $7,652,703 | $35,557 | $9,251,186 | $- | $83,028,826 |
| 來自公司內部之收入 | $20,819,458 | $6,321,113 | $1,199,436 | $3,742,395 | $255,816 | $8,881 | $3,379,018 | ($35,726,117) | $- |
| 收入合計 | $37,019,565 | $20,481,240 | $15,433,211 | $25,237,766 | $7,908,519 | $44,438 | $12,630,204 | ($35,726,117) | $83,028,826 |
| 部門(損)益 | $492,816 | ($1,247,348) | ($490,774) | ($1,138,009) | $122,677 | $7,764 | $300,042 | $819,001 | ($1,133,831) |
| 部門總資產 | $39,403,202 | $33,250,752 | $50,343,500 | $55,078,012 | $76,025,519 | $905,259 | $433,276,621 | ($110,765,058) | $577,517,807 |

111年1月1日至3月31日

| 部門 | 化一部 | 化二部 | 化三部 | 塑膠部 | 福懋公司 | 綠能部門 | 其他部門 | 調整及沖銷 | 合計 |
|------|--------|--------|--------|--------|--------|--------|--------|--------|------|
| 來自公司以外客戶之收入 | $11,050,999 | $15,842,323 | $19,257,981 | $28,949,878 | $6,540,213 | $34,242 | $13,723,402 | $- | $95,399,038 |
| 來自公司內部之收入 | $24,975,712 | $7,648,364 | $947,578 | $5,610,516 | $62,528 | $4,332,554 | ($43,577,252) | $- | $- |
| 收入合計 | $36,026,711 | $23,490,687 | $20,205,559 | $34,560,394 | $6,602,741 | $34,242 | $18,055,956 | ($43,577,252) | $95,399,038 |
| 部門(損)益 | $94,307 | $1,300,172 | $1,294,370 | $1,757,406 | $634,361 | $5,032 | $5,657,666 | ($2,574,220) | $8,169,094 |
| 部門總資產 | $45,795,583 | $32,863,557 | $47,373,221 | $59,306,361 | $77,040,801 | $732,705 | $484,784,114 | ($131,327,090) | $616,569,252 |
