### 财务报告

#### 累计损益表

| 公司名称 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|----------|---------------------|---------------------|
| FIH Mobile Limited | $61,857,150 | $57,172,499 |
| 继续营业单位本期净损 | (526,217) | (1,079,316) |
| 其他综合损益（税后净额） | 14,446 | (358,748) |
| 本期综合损益总额 | ($511,771) | ($1,438,064) |
| 综合损益总额归属于非控制权益 | ($121,182) | ($549,329) |
| 支付予非控制权益股利 | - | - |

| 公司名称 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|----------|---------------------|---------------------|
| Foxconn Interconnect Technology Limited | $28,655,546 | $27,574,309 |
| 继续营业单位本期净利 | 856,270 | 322,188 |
| 其他综合损益（税后净额） | (236,851) | (327,890) |
| 本期综合损益总额 | $619,419 | ($5,702) |
| 综合损益总额归属于非控制权益 | $167,147 | ($1,426) |
| 支付予非控制权益股利 | - | - |

| 公司名称 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|----------|---------------------|---------------------|
| Foxconn Ventures PTE. LTD. | - | - |
| 继续营业单位本期净（损）利 | (3,247,801) | 3,854,631 |
| 其他综合损益（税后净额） | (51,002) | 34,970 |
| 本期综合损益总额 | ($3,298,803) | $3,889,601 |
| 综合损益总额归属于非控制权益 | ($1,530,704) | $1,769,769 |
| 支付予非控制权益股利 | - | - |

| 公司名称 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|----------|---------------------|---------------------|
| 富士康工业互联网股份有限公司 | $462,159,366 | $430,227,199 |
| 继续营业单位本期净利 | 14,167,685 | 13,059,314 |
| 其他综合损益（税后净额） | 1,845,478 | (1,924,377) |
| 本期综合损益总额 | $16,013,163 | $11,134,937 |
| 综合损益总额归属于非控制权益 | $2,551,824 | $1,776,717 |
| 支付予非控制权益股利 | - | - |

### Markdown表格

```markdown
| 公司名称 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|----------|---------------------|---------------------|
| FIH Mobile Limited | $61,857,150 | $57,172,499 |
| 继续营业单位本期净损 | (526,217) | (1,079,316) |
| 其他综合损益（税后净额） | 14,446 | (358,748) |
| 本期综合损益总额 | ($511,771) | ($1,438,064) |
| 综合损益总额归属于非控制权益 | ($121,182) | ($549,329) |
| 支付予非控制权益股利 | - | - |

| 公司名称 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|----------|---------------------|---------------------|
| Foxconn Interconnect Technology Limited | $28,655,546 | $27,574,309 |
| 继续营业单位本期净利 | 856,270 | 322,188 |
| 其他综合损益（税后净额） | (236,851) | (327,890) |
| 本期综合损益总额 | $619,419 | ($5,702) |
| 综合损益总额归属于非控制权益 | $167,147 | ($1,426) |
| 支付予非控制权益股利 | - | - |

| 公司名称 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|----------|---------------------|---------------------|
| Foxconn Ventures PTE. LTD. | - | - |
| 继续营业单位本期净（损）利 | (3,247,801) | 3,854,631 |
| 其他综合损益（税后净额） | (51,002) | 34,970 |
| 本期综合损益总额 | ($3,298,803) | $3,889,601 |
| 综合损益总额归属于非控制权益 | ($1,530,704) | $1,769,769 |
| 支付予非控制权益股利 | - | - |

| 公司名称 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|----------|---------------------|---------------------|
| 富士康工业互联网股份有限公司 | $462,159,366 | $430,227,199 |
| 继续营业单位本期净利 | 14,167,685 | 13,059,314 |
| 其他综合损益（税后净额） | 1,845,478 | (1,924,377) |
| 本期综合损益总额 | $16,013,163 | $11,134,937 |
| 综合损益总额归属于非控制权益 | $2,551,824 | $1,776,717 |
| 支付予非控制权益股利 | - | - |
```
