### 财务报告

#### 合并综合损益表
**单位：新台币仟元**
**（除每股盈余为新台币元外）**

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 4000 營業收入 | $ 1,543,163,653 | $ 1,746,604,787 | $ 4,310,149,182 | $ 4,663,968,546 |
| 5000 營業成本 | (1,440,410,156) | (1,638,977,070) | (4,035,484,046) | (4,374,947,427) |
| 5900 營業毛利 | 102,753,497 | 107,627,717 | 274,665,136 | 289,021,119 |
| 營業費用 | - | - | - | - |
| 6100 推銷費用 | (5,366,675) | - | (16,935,761) | - |
| 6200 管理費用 | (24,080,087) | (21,240,053) | (62,846,404) | (57,614,297) |
| 6300 研究發展費用 | (27,156,833) | (29,973,118) | (77,284,649) | (80,153,294) |
| 6000 營業費用合計 | (56,603,595) | (59,078,273) | (157,066,814) | (159,465,843) |
| 6900 營業利益 | 46,149,902 | 48,549,444 | 117,598,322 | 129,555,276 |
| 營業外收入及支出 | - | - | - | - |
| 7100 利息收入 | 20,868,596 | 11,601,392 | 59,970,158 | 28,876,672 |
| 7010 其他收入 | 3,306,486 | 2,985,046 | 7,637,260 | 6,872,990 |
| 7020 其他利益及損失 | 1,804,804 | - | 4,273,064 | - |
| 7050 財務成本 | (17,747,223) | (10,093,009) | (49,304,321) | (22,021,953) |
| 7060 採用權益法認列之關聯企業及合資損益之份額 | 2,834,836 | - | (14,848,553) | - |
| 7000 營業外收入及支出合計 | 11,067,499 | 2,646,868 | 7,727,608 | 5,505,604 |
| 7900 稅前淨利 | 57,217,401 | 51,196,312 | 125,325,930 | 135,060,880 |
| 7950 所得稅費用 | (9,727,497) | (9,503,472) | (28,793,587) | (29,094,898) |
| 8200 本期淨利 | $ 47,489,904 | $ 41,692,840 | $ 96,532,343 | $ 105,965,982 |

#### （續次頁）

---

**注意：** 以上数据为示例，实际数据应根据财务报告内容进行调整。
