### 财务报告

#### 111年1月至9月30日（调整后）

| 项目 | 111年1月1日余额 | 111年1月1日至9月30日净利 | 111年1月1日至9月30日其他综合收益 | 111年1月1日至9月30日综合收益总额 | 111年9月30日余额 |
|------|----------------|---------------------------|----------------------------------|----------------------------------|----------------|
| 普通股股本 | $ 58,611,863 | $ 9,192,999 | $ 66,313,982 | $ 70,032,921 | $ 72,145,718 |
| 法定盈余公积 | - | - | - | - | - |
| 特别盈余公积 | - | - | - | - | - |
| 未分配盈余 | - | - | - | - | - |
| 差额 | - | - | - | - | - |
| 实现损益 | - | - | - | - | - |
| 避免工具之损益 | - | - | - | - | - |
| 不动产重估增值 | - | - | - | - | - |
| 库藏股 | - | - | - | - | - |
| 股票总 | - | - | - | - | - |
| 计非控制权益 | - | - | - | - | - |
| 权益总计 | - | - | - | - | - |

#### 112年1月至9月30日（调整后）

| 项目 | 112年1月1日余额 | 112年1月1日至9月30日净利 | 112年1月1日至9月30日其他综合收益 | 112年1月1日至9月30日综合收益总额 | 112年9月30日余额 |
|------|----------------|---------------------------|----------------------------------|----------------------------------|----------------|
| 普通股股本 | $ 58,611,863 | $ 9,246,656 | $ 70,224,189 | $ 76,461,277 | $ 48,489,193 |
| 法定盈余公积 | - | - | - | - | - |
| 特别盈余公积 | - | - | - | - | - |
| 未分配盈余 | - | - | - | - | - |
| 差额 | - | - | - | - | - |
| 实现损益 | - | - | - | - | - |
| 避免工具之损益 | - | - | - | - | - |
| 不动产重估增值 | - | - | - | - | - |
| 库藏股 | - | - | - | - | - |
| 股票总 | - | - | - | - | - |
| 计非控制权益 | - | - | - | - | - |
| 权益总计 | - | - | - | - | - |

#### 113年1月至9月30日（调整后）

| 项目 | 113年1月1日余额 | 113年1月1日至9月30日净利 | 113年1月1日至9月30日其他综合收益 | 113年1月1日至9月30日综合收益总额 | 113年9月30日余额 |
|------|----------------|---------------------------|----------------------------------|----------------------------------|----------------|
| 普通股股本 | $ 58,611,863 | $ 9,270,762 | $ 70,997,369 | $ 76,602,492 | $ 43,365,589 |
| 法定盈余公积 | - | - | - | - | - |
| 特别盈余公积 | - | - | - | - | - |
| 未分配盈余 | - | - | - | - | - |
| 差额 | - | - | - | - | - |
| 实现损益 | - | - | - | - | - |
| 避免工具之损益 | - | - | - | - | - |
| 不动产重估增值 | - | - | - | - | - |
| 库藏股 | - | - | - | - | - |
| 股票总 | - | - | - | - | - |
| 计非控制权益 | - | - | - | - | - |
| 权益总计 | - | - | - | - | - |

#### 114年1月至9月30日（调整后）

| 项目 | 114年1月1日余额 | 114年1月1日至9月30日净利 | 114年1月1日至9月30日其他综合收益 | 114年1月1日至9月30日综合收益总额 | 114年9月30日余额 |
|------|----------------|---------------------------|----------------------------------|----------------------------------|----------------|
| 普通股股本 | $ 58,611,863 | $ 9,270,762 | $ 70,997,369 | $ 76,602,492 | $ 43,365,589 |
| 法定盈余公积 | - | - | - | - | - |
| 特别盈余公积 | - | - | - | - | - |
| 未分配盈余 | - | - | - | - | - |
| 差额 | - | - | - | - | - |
| 实现损益 | - | - | - | - | - |
| 避免工具之损益 | - | - | - | - | - |
| 不动产重估增值 | - | - | - | - | - |
| 库藏股 | - | - | - | - | - |
| 股票总 | - | - | - | - | - |
| 计非控制权益 | - | - | - | - | - |
| 权益总计 | - | - | - | - | - |

#### 115年1月至9月30日（调整后）

| 项目 | 115年1月1日余额 | 115年1月1日至9月30日净利 | 115年1月1日至9月30日其他综合收益 | 115年1月1日至9月30日综合收益总额 | 115年9月30日余额 |
|------|----------------|---------------------------|----------------------------------|----------------------------------|----------------|
| 普通股股本 | $ 58,611,863 | $ 9,270,762 | $ 70,997,369 | $ 76,602,492 | $ 43,365,589 |
| 法定盈余公积 | - | - | - | - | - |
| 特别盈余公积 | - | - | - | - | - |
| 未分配盈余 | - | - | - | - | - |
| 差额 | - | - | - | - | - |
| 实现损益 | - | - | - | - | - |
| 避免工具之损益 | - | - | - | - | - |
| 不动产重估增值 | - | - | - | - | - |
| 库藏股 | - | - | - | - | - |
| 股票总 | - | - | - | - | - |
| 计非控制权益 | - | - | - | - | - |
| 权益总计 | - | - | - | - | - |

#### 116年1月至9月30日（调整后）

| 项目 | 116年1月1日余额 | 116年1月1日至9月30日净利 | 116年1月1日至9月30日其他综合收益 | 116年1月1日至9月30日综合收益总额 | 116年9月30日余额 |
|------|----------------|---------------------------|----------------------------------|----------------------------------|----------------|
| 普通股股本 | $ 58,611,863 | $ 9,270,762 | $ 70,997,369 | $ 76,602,492
