### 111年

| 项目 | 土地 | 房屋及建筑物 | 合计 |
|------|------|--------------|------|
| 1月1日 | $ 1,412,393 | $ 1,115,203 | $ 2,527,596 |
| 成本 | $ 1,740,187 | $ 791,496 | $ 2,531,683 |
| 重估增值 | 327,794 | - | 327,794 |
| 累计折旧 | - | (323,707) | (323,707) |
| 1月1日 | $ 1,740,187 | $ 791,496 | $ 2,531,683 |
| 折旧费用 | - | (5,795) | (5,795) |
| 3月31日 | $ 1,740,187 | $ 785,701 | $ 2,525,888 |
| 成本 | $ 1,412,393 | $ 1,115,202 | $ 2,527,595 |
| 重估增值 | 327,794 | - | 327,794 |
| 累计折旧 | - | (329,501) | (329,501) |
| 3月31日 | $ 1,740,187 | $ 785,701 | $ 2,525,888 |

### 110年

| 项目 | 土地 | 房屋及建筑物 | 合计 |
|------|------|--------------|------|
| 1月1日 | $ 1,214,517 | $ 1,131,642 | $ 2,346,159 |
| 成本 | $ 1,542,311 | $ 820,251 | $ 2,362,562 |
| 重估增值 | 327,794 | - | 327,794 |
| 累计折旧 | - | (311,391) | (311,391) |
| 1月1日 | $ 1,542,311 | $ 820,251 | $ 2,362,562 |
| 重分类 | - | (8,168) | (8,168) |
| 折旧费用 | - | (5,839) | (5,839) |
| 3月31日 | $ 1,542,311 | $ 806,244 | $ 2,348,555 |
| 成本 | $ 1,214,517 | $ 1,123,474 | $ 2,337,991 |
| 重估增值 | 327,794 | - | 327,794 |
| 累计折旧 | - | (317,230) | (317,230) |
| 3月31日 | $ 1,542,311 | $ 806,244 | $ 2,348,555 |
