关系人名称 | 与本集团之关系
------------|-----------------
政仁能源股份有限公司 | 关联企业
临沂和裕丰田汽车销售服务有限公司 | 
天津滨海新区和凌雷克萨斯汽车服务有限公司（天津滨海和凌） | 
国瑞汽车股份有限公司（国瑞） | 
国都汽车股份有限公司（国都） | 
北都汽车股份有限公司（北都） | 
桃苗汽车股份有限公司（桃苗） | 
中部汽车股份有限公司（中部） | 
南都汽车股份有限公司（南都） | 
高都汽车股份有限公司（高都） | 
兰扬汽车股份有限公司 | 
和诚汽车零配件股份有限公司 | 
和昭实业股份有限公司 | 
和航汽车股份有限公司 | 
和荣汽车股份有限公司 | 
中诚汽车股份有限公司 | 
恒运投资股份有限公司 | 
泛台货柜运输股份有限公司（泛台） | 
益台通运股份有限公司（益台） | 
桦台通运股份有限公司 | 
车隼科技股份有限公司 | 
广泉机械厂股份有限公司 | 
高轻股份有限公司 | 
桃劲企业有限公司 | 
南天科技股份有限公司 | 
和如股份有限公司 | 
新创汽车零配件股份有限公司 | 
荔兴企业股份有限公司 | 
中浩汽车股份有限公司 | 
充塚技术服务股份有限公司 | 
本公司董事、总经理及副总经理等 | 主要管理阶层
（以下空白）
