### 财务报告

#### 6. 对本集团具重大性之非控制權益之子公司

| 子公司 | 主要 | 持股 | 金额 | 百分比 | 說明 |
|--------|------|------|------|--------|------|
| FIH MOBILE LIMITED | 開曼群島 | $ 22,302,566 | 36% | $ 21,848,824 | 37% |
| FOXCONN VENTURES PTE. LTD. | 新加坡 | 23,528,602 | 46% | 24,232,208 | 46% |
| FOXCONN INTERCONNECT TECHNOLOGY LIMITED | 開曼群島 | 18,953,035 | 27% | 18,134,896 | 27% |
| 富士康工業互聯網股份有限公司 | 中國 | 88,216,524 | 16% | 82,940,552 | 16% |
| 亞太電信股份有限公司 | 台灣 | 19,224,871 | 64% | 20,254,098 | 64% |
| **总计** | **$ 172,225,598** | **$ 167,410,578** | | | |

| 子公司 | 主要 | 持股 | 金额 | 百分比 | 說明 |
|--------|------|------|------|--------|------|
| FIH MOBILE LIMITED | 開曼群島 | $ 21,365,829 | 37% | | |
| FOXCONN VENTURES PTE. LTD. | 新加坡 | 25,057,281 | 46% | | |
| FOXCONN INTERCONNECT TECHNOLOGY LIMITED | 開曼群島 | 15,811,711 | 25% | | |
| 富士康工業互聯網股份有限公司 | 中國 | 74,562,572 | 16% | | |
| 亞太電信股份有限公司 | 台灣 | 18,144,933 | 59% | | |
| **总计** | **$ 154,942,326** | | | | |

### 财务报告

#### 6. 对本集团具重大性之非控制權益之子公司

| 子公司 | 主要 | 持股 | 金额 | 百分比 | 說明 |
|--------|------|------|------|--------|------|
| FIH MOBILE LIMITED | 開曼群島 | $ 22,302,566 | 36% | $ 21,848,824 | 37% |
| FOXCONN VENTURES PTE. LTD. | 新加坡 | 23,528,602 | 46% | 24,232,208 | 46% |
| FOXCONN INTERCONNECT TECHNOLOGY LIMITED | 開曼群島 | 18,953,035 | 27% | 18,134,896 | 27% |
| 富士康工業互聯網股份有限公司 | 中國 | 88,216,524 | 16% | 82,940,552 | 16% |
| 亞太電信股份有限公司 | 台灣 | 19,224,871 | 64% | 20,254,098 | 64% |
| **总计** | **$ 172,225,598** | **$ 167,410,578** | | | |

| 子公司 | 主要 | 持股 | 金额 | 百分比 | 說明 |
|--------|------|------|------|--------|------|
| FIH MOBILE LIMITED | 開曼群島 | $ 21,365,829 | 37% | | |
| FOXCONN VENTURES PTE. LTD. | 新加坡 | 25,057,281 | 46% | | |
| FOXCONN INTERCONNECT TECHNOLOGY LIMITED | 開曼群島 | 15,811,711 | 25% | | |
| 富士康工業互聯網股份有限公司 | 中國 | 74,562,572 | 16% | | |
| 亞太電信股份有限公司 | 台灣 | 18,144,933 | 59% | | |
| **总计** | **$ 154,942,326** | | | | |

### 财务报告

#### 6. 对本集团具重大性之非控制權益之子公司

| 子公司 | 主要 | 持股 | 金额 | 百分比 | 說明 |
|--------|------|------|------|--------|------|
| FIH MOBILE LIMITED | 開曼群島 | $ 22,302,566 | 36% | $ 21,848,824 | 37% |
| FOXCONN VENTURES PTE. LTD. | 新加坡 | 23,528,602 | 46% | 24,232,208 | 46% |
| FOXCONN INTERCONNECT TECHNOLOGY LIMITED | 開曼群島 | 18,953,035 | 27% | 18,134,896 | 27% |
| 富士康工業互聯網股份有限公司 | 中國 | 88,216,524 | 16% | 82,940,552 | 16% |
| 亞太電信股份有限公司 | 台灣 | 19,224,871 | 64% | 20,254,098 | 64% |
| **总计** | **$ 172,225,598** | **$ 167,410,578** | | | |

| 子公司 | 主要 | 持股 | 金额 | 百分比 | 說明 |
|--------|------|------|------|--------|------|
| FIH MOBILE LIMITED | 開曼群島 | $ 21,365,829 | 37% | | |
| FOXCONN VENTURES PTE. LTD. | 新加坡 | 25,057,281 | 46% | | |
| FOXCONN INTERCONNECT TECHNOLOGY LIMITED | 開曼群島 | 15,811,711 | 25% | | |
| 富士康工業互聯網股份有限公司 | 中國 | 74,562,572 | 16% | | |
| 亞太電信股份有限公司 | 台灣 | 18,144,933 | 59% | | |
| **总计** | **$ 154,942,326** | | | | |

### 财务报告

#### 6. 对本集团具重大性之非控制權益之子公司

| 子公司 | 主要 | 持股 | 金额 | 百分比 | 說明 |
|--------|------|------|------|--------|------|
| FIH MOBILE LIMITED | 開曼群島 | $ 22,302,566 | 36% | $ 21,848,824 | 37% |
| FOXCONN VENTURES PTE. LTD. | 新加坡 | 23,528,602 | 46% | 24,232,208 | 46% |
| FOXCONN INTERCONNECT TECHNOLOGY LIMITED | 開曼群島 | 18,953,035 | 27% | 18,134,896 | 27% |
| 富士康工業互聯網股份有限公司 | 中國 | 88,216,524 | 16% | 82,940,552 | 16% |
| 亞太電信股份有限公司 | 台灣 | 19,224,871 | 64% | 20,254
