以下是从PDF财务报告图像中提取的文本和表格信息：

### 文本内容
- **单位：新台币仟元**
- **後附之附註係本合併財務報告之一部分。**
- **董事長：王世忠**
- **經理人：王世忠**
- **會計主管：曹永祥**

### 表格数据
#### 资产
| 代 码 | 资  产 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|-------|--------|--------------|---------------|--------------|
| 1100  | 現金及約當現金（附註六） | $ 2,777,375 | $ 4,374,302 | $ 5,787,574 |
| 1110  | 透過損益按公允價值衡量之金融資產－流動（附註七） | 127,933 | 16,855 | 25,123 |
| 1136  | 按攤銷後成本衡量之金融資產－流動（附註八及三十） | 497,891 | 1,831,215 | 325,407 |
| 1150  | 應收票據（附註九） | 1,744,267 | 2,092,888 | 2,422,521 |
| 1170  | 應收帳款（附註九及二九） | 6,391,418 | 5,389,837 | 5,149,212 |
| 1200  | 其他應收款 | 19,522 | 22,976 | 27,879 |
| 1220  | 本期所得稅資產（附註四） | 14,287 | 12,820 | 14,596 |
| 130X  | 存貨（附註十） | 5,893,981 | 5,301,683 | 3,610,690 |
| 1470  | 其他流動資產（附註十四） | 300,698 | 271,628 | 224,640 |
| 11XX  | 流動資產總計 | 17,767,372 | 19,314,204 | 17,587,642 |

#### 非流动资产
| 代 码 | 資  產 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|-------|--------|--------------|---------------|--------------|
| 1600  | 不動產、廠房及設備（附註十二及三十） | 26,671,077 | 24,466,511 | 22,335,722 |
| 1755  | 使用權資產（附註十三） | 1,024,517 | 1,010,259 | 1,012,922 |
| 1780  | 其他無形資產 | 49,132 | 51,519 | 56,269 |
| 1840  | 遞延所得稅資產（附註四及二二） | 534,284 | 568,219 | 547,034 |
| 1990  | 其他非流動資產（附註十四） | 1,885,594 | 2,267,944 | 1,098,680 |
| 15XX  | 非流動資產總計 | 30,164,604 | 28,364,452 | 25,050,627 |

#### 负债
| 代 码 | 负 债 及 權 益 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|-------|----------------|--------------|---------------|--------------|
| 2100  | 短期借款（附註十五） | $ 2,767,210 | $ 3,712,644 | $ 10,420,078 |
| 2110  | 應付短期票券（附註十五） | 468,000 | 780,000 | 1,050,000 |
| 2120  | 透過損益按公允價值衡量之金融負債－流動（附註七） | - | - | 981 |
| 2130  | 合約負債－流動（附註二十） | 98,407 | 68,712 | 100,461 |
| 2150  | 應付票據（附註十六） | 192,219 | 226,223 | 134,618 |
| 2170  | 應付帳款（附註十六） | 1,141,721 | 1,076,830 | 786,628 |
| 2280  | 租賃負債－流動（附註十三） | 61,056 | 60,825 | 62,011 |
| 2200  | 其他應付款（附註十七） | 4,058,863 | 1,731,823 | 2,615,857 |
| 2250  | 本期所得稅負債（附註四） | 535,114 | 606,389 | 521,083 |
| 2320  | 一年內到期之長期借款（附註十五及三十） | 2,523,249 | 766,500 | 766,500 |
| 2399  | 其他流動負債（附註十七） | 231,015 | 188,513 | 365,395 |
| 21XX  | 流動負債總計 | 12,076,854 | 9,219,440 | 16,828,093 |

#### 非流動負債
| 代 码 | 負 债 及 權 益 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|-------|----------------|--------------|---------------|--------------|
| 2580  | 租賃負債－非流動（附註十三） | 137,147 | - | 162,651 |
| 2540  | 長期借款（附註十五及三十） | - | 2,805,726 | 3,185,907 |
| 2570  | 遞延所得稅負債（附註四及二二） | 477,940 | 1 | 421,806 |
| 25XX  | 非流動負債總計 | 615,087 | 1 | 3,307,545 |
| 2XXX  | 負債總計 | 12,691,941 | 26 | 12,526,985 | 26 |
| 20XX  | 归屬於本公司業主之權益（附註十九） | 3110 | 3200 | 3300 |
| 3110  | 普 通  股 | 2
