### 111年

| 项目 | 未实现 | 避险准备 | 外币换算 | 总计 |
|------|--------|----------|----------|------|
| 1月1日 | $3,986,029 | $1,601,207 | ($6,733,006) | ($1,145,770) |
| 调整 | (430,919) | - | - | (430,919) |
| 调整之税额 | 16,588 | - | - | 16,588 |
| 调整-关联企业 | (1,049,529) | - | - | (1,049,529) |
| 调整转出至 | 保留盈余-关联 | 218 | - | 218 |
| 企业 | - | - | - | - |
| 现金流量避险： | - | - | - | - |
| - 公允价值利益(损失) | - | - | - | - |
| - 合并公司 | - | (203,047) | - | (203,047) |
| - 合并公司之税额 | - | 40,956 | - | 40,956 |
| - 关联企业 | - | (1,435,958) | - | (1,435,958) |
| 外币换算差额： | - | - | - | - |
| - 合并公司 | - | - | 37,425,120 | 37,425,120 |
| - 合并公司之税额 | - | - | (4,415) | (4,415) |
| - 关联企业 | - | - | 696,281 | 696,281 |
| 9月30日 | $2,522,387 | $3,158 | $31,383,980 | $33,909,525 |

### 110年

| 项目 | 未实现 | 避险准备 | 外币换算 | 总计 |
|------|--------|----------|----------|------|
| 1月1日 | $1,884,774 | $1,862,164 | ($4,328,344) | ($581,406) |
| 调整 | 333,332 | - | - | 333,332 |
| 调整之税额 | 9,729 | - | - | 9,729 |
| 调整-关联企业 | 1,242,167 | - | - | 1,242,167 |
| 调整转出至 | 保留盈余-关联 | (41,138) | - | (41,138) |
| 企业 | - | - | - | - |
| 现金流量避险： | - | - | - | - |
| - 公允价值损失 | - | 42,971 | - | 42,971 |
| - 合并公司之税额 | - | 3,837 | - | 3,837 |
| - 关联企业 | - | (178,395) | - | (178,395) |
| 外币换算差额： | - | - | - | - |
| - 合并公司 | - | - | (792,246) | (792,246) |
| - 合并公司之税额 | - | - | (825) | (825) |
| - 关联企业 | - | - | (30,373) | (30,373) |
| 9月30日 | $3,428,864 | $1,730,577 | ($5,151,788) | $7,653 |
