### 财务报告分析

#### 1. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 2. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 3. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 4. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 5. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 6. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 7. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 8. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 9. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 10. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 11. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 12. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 13. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 14. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 15. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 16. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 17. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 18. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 19. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 20. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 21. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 22. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 23. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 租赁投资净额的融资收益 | $668,130 | $558,389 |

#### 24. 租赁投资净额的融资收益
| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日
