### 财务报告分析

#### 1. 投资性不动产租金收入及直接运营费用

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 投资性不动产租金收入 | $43,717 | $42,517 |
| 当期产生租金收入之投资性不动产所发生之直接运营费用（含折旧费用） | $9,260 | $8,393 |
| 投资性不动产租金收入 | $132,126 | $121,859 |
| 当期产生租金收入之投资性不动产所发生之直接运营费用（含折旧费用） | $28,344 | $24,925 |

#### 2. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 3. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 4. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 5. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 6. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 7. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 8. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 9. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 10. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 11. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 12. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 13. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 14. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 15. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 16. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 17. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 18. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,312,603 | $3,309,155 | $3,042,902 |

#### 19. 本集团持有之投资性不动产市价

| 日期 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 投资性不动产市价 | $3,3
