### 财务报告表格数据

#### 表格数据输出

| 借款性质 | 借款期间及还款方式 | 利率区间 | 担保品 | 111年3月31日 |
|----------|------------------|----------|--------|--------------|
| 长期银行借款 | 108.7.17~113.7.17 | LIBOR+0.78% | 無 | $ 5,724,144 |
| 信用借款 | 109.7.15~114.7.15 | 利率为LPR一至五年第一期（112年），六個月一次分五期偿还本金 | " | $ 1,555,855 |
| 110.12.13~115.12.13 | 利率为LPR一至五年第一期（113年），六個月一次分五期偿还本金 | " | $ 1,451,795 |
| 111.1.14~113.1.14 | 到期一次还本 | 0.83% | " | $ 1,000,000 |
| 110.10.6~112.10.6 | 到期一次还本 | 0.79% | " | $ 1,000,000 |
| 110.8.13~112.8.13 | 到期一次还本 | 0.77% | " | $ 1,600,000 |
| 109.12.15~112.12.14 | 到期一次还本 | 0.85% | " | $ 200,000 |
| 110.9.9~112.9.9 | 到期一次还本 | 0.84% | " | $ 500,000 |
| 110.3.12~112.3.12 | 到期一次还本 | 0.73% | " | $ 1,500,000 |
| 110.7.13~112.7.13 | 到期一次还本 | 0.81% | " | $ 800,000 |
| 110.8.16~112.8.16 | 到期一次还本 | 0.78% | " | $ 1,200,000 |
| 110.12.3~112.12.1 | 到期一次还本 | 0.86% | " | $ 200,000 |
| 109.8.20~112.8.10 | 到期一次还本 | 0.83% | " | $ 700,000 |
| 110.7.21~112.7.21 | 到期一次还本 | 0.83% | " | $ 1,000,000 |
| 总计 | 18,431,794 | 18,431,794 | 18,431,794 | $ 18,431,794 |

#### 文本输出

- 111年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年3月31日
- 111年12月31日
- 111年3月31日
- 112年
