### 财务报告

#### (3) 劳务收入

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 劳务销售： | | |
| - 关联企业 | $25,090 | $16,803 |
| - 主要管理层控制之个体 | $7,667 | $9,710 |
| 業務委託收入： | | |
| - 关联企业 | $6,798 | $5,949 |
| | $39,555 | $32,462 |

#### (4) 分期付款价差补贴收入：

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 分期付款价差补贴收入： | | |
| - 关联企业 | $57,282 | $58,230 |
| | $109,228 | $89,017 |

#### (5) 保固收入

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 保固收入（帐列销货成本减项）： | | |
| - 关联企业 | | |
| - 国瑞 | $47,853 | $31,557 |
| - 主要管理层控制之个体 | $93,817 | $80,723 |
| - 其他 | $540 | $30 |
| | $142,210 | $112,310 |

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| 保固收入（帐列销货成本减项）： | | |
| - 关联企业 | | |
| - 国瑞 | $114,754 | $87,697 |
| - 主要管理层控制之个体 | $232,918 | $215,311 |
| - 其他 | $1,914 | $384 |
| | $349,586 | $303,392 |

### 总计

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| 总计 | $39,555 | $32,462 |
| 分期付款价差补贴收入： | $109,228 | $89,017 |
| 保固收入（帐列销货成本减项）： | $142,210 | $112,310 |
| | $349,586 | $303,392 |
