### 财务报告

#### (三十二) 每股盈余

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 基本每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | $100,698,049 | $80,138,088 |
| 稀释每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | 100,698,049 | 80,138,088 |
| 具稀释作用之潜在普通股之影响 | | |
| 可转换公司债 | 12,829 | 12,659 |
| 员工酬劳 | - | - |
| 归属于母公司普通股股东之本期净利加潜在普通股之影响 | $100,710,878 | $80,150,747 |
| 每股盈余 | $37.25 | $14.99 |
| 在外股数(千股) | 2,703,037 | 5,347,716 |
| 加权平均流通 | | |
| 税后金额 | | |

#### (三十二) 每股盈余

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 基本每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | $100,698,049 | $80,138,088 |
| 稀释每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | 100,698,049 | 80,138,088 |
| 具稀释作用之潜在普通股之影响 | | |
| 可转换公司债 | 12,829 | 12,659 |
| 员工酬劳 | - | - |
| 归属于母公司普通股股东之本期净利加潜在普通股之影响 | $100,710,878 | $80,150,747 |
| 每股盈余 | $37.25 | $14.99 |
| 在外股数(千股) | 2,703,037 | 5,347,716 |
| 加权平均流通 | | |
| 税后金额 | | |

#### (三十二) 每股盈余

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 基本每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | $100,698,049 | $80,138,088 |
| 稀释每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | 100,698,049 | 80,138,088 |
| 具稀释作用之潜在普通股之影响 | | |
| 可转换公司债 | 12,829 | 12,659 |
| 员工酬劳 | - | - |
| 归属于母公司普通股股东之本期净利加潜在普通股之影响 | $100,710,878 | $80,150,747 |
| 每股盈余 | $37.25 | $14.99 |
| 在外股数(千股) | 2,703,037 | 5,347,716 |
| 加权平均流通 | | |
| 税后金额 | | |

#### (三十二) 每股盈余

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 基本每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | $100,698,049 | $80,138,088 |
| 稀释每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | 100,698,049 | 80,138,088 |
| 具稀释作用之潜在普通股之影响 | | |
| 可转换公司债 | 12,829 | 12,659 |
| 员工酬劳 | - | - |
| 归属于母公司普通股股东之本期净利加潜在普通股之影响 | $100,710,878 | $80,150,747 |
| 每股盈余 | $37.25 | $14.99 |
| 在外股数(千股) | 2,703,037 | 5,347,716 |
| 加权平均流通 | | |
| 税后金额 | | |

#### (三十二) 每股盈余

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 基本每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | $100,698,049 | $80,138,088 |
| 稀释每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | 100,698,049 | 80,138,088 |
| 具稀释作用之潜在普通股之影响 | | |
| 可转换公司债 | 12,829 | 12,659 |
| 员工酬劳 | - | - |
| 归属于母公司普通股股东之本期净利加潜在普通股之影响 | $100,710,878 | $80,150,747 |
| 每股盈余 | $37.25 | $14.99 |
| 在外股数(千股) | 2,703,037 | 5,347,716 |
| 加权平均流通 | | |
| 税后金额 | | |

#### (三十二) 每股盈余

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 基本每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | $100,698,049 | $80,138,088 |
| 稀释每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | 100,698,049 | 80,138,088 |
| 具稀释作用之潜在普通股之影响 | | |
| 可转换公司债 | 12,829 | 12,659 |
| 员工酬劳 | - | - |
| 归属于母公司普通股股东之本期净利加潜在普通股之影响 | $100,710,878 | $80,150,747 |
| 每股盈余 | $37.25 | $14.99 |
| 在外股数(千股) | 2,703,037 | 5,347,716 |
| 加权平均流通 | | |
| 税后金额 | | |

#### (三十二) 每股盈余

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 基本每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | $100,698,049 | $80,138,088 |
| 稀释每股盈余 | | |
| 归属于母公司普通股股东之本期净利 | 100,
