### 财务报告

#### (6) 广告补助收入及促销物收入：
| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| - 關聯企業 | | |
| 國都 | $68,140 | $60,006 |
| 其他 | $34,058 | $38,424 |
| - 主要管理階層控制之個體 | | |
| | $4,962 | $3,260 |
| | $107,160 | $101,690 |

#### (7) 什項收入：
| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| - 關聯企業 | | |
| 國都 | $185,860 | $168,506 |
| 其他 | $105,925 | $96,737 |
| - 主要管理階層控制之個體 | | |
| | $24,466 | $35,526 |
| | $316,251 | $300,769 |

#### (8) 什項收入：
| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| - 關聯企業 | | |
| 國都 | $105,004 | $99,151 |
| 其他 | $156,260 | $138,574 |
| - 主要管理階層控制之個體 | | |
| | $62,752 | $64,981 |
| | $324,016 | $302,706 |

### Markdown表格格式输出

```markdown
| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| - 關聯企業 | | |
| 國都 | $68,140 | $60,006 |
| 其他 | $34,058 | $38,424 |
| - 主要管理階層控制之個體 | | |
| | $4,962 | $3,260 |
| | $107,160 | $101,690 |

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| - 關聯企業 | | |
| 國都 | $185,860 | $168,506 |
| 其他 | $105,925 | $96,737 |
| - 主要管理階層控制之個體 | | |
| | $24,466 | $35,526 |
| | $316,251 | $300,769 |

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|----------------------|----------------------|
| - 關聯企業 | | |
| 國都 | $105,004 | $99,151 |
| 其他 | $156,260 | $138,574 |
| - 主要管理階層控制之個體 | | |
| | $62,752 | $64,981 |
| | $324,016 | $302,706 |
```
