### 财务报告分析

#### 1. 合并公司于民国111年及110年1月1日至9月30日使用权资产增添之金额分别为$14,326,624及$22,094,711。

#### 2. 合并公司于民国111年及110年1月1日至9月30日使用权资产处分之帐面金额分别为$643及$459。

#### 3. 与租赁合约有关之损益项目资讯如下：

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|---------------------|---------------------|
| 影响当期损益之项目 | | |
| 租赁负债之利息费用 | $528,569 | $488,721 |
| 属短期租赁合约之费用 | 628,250 | 1,023,414 |
| 属低价值资产租赁之费用 | 7,762 | 4,268 |
| 变动租赁给付之费用 | 10 | 28 |
| 租赁修改(损失)利益 | (39,805) | 4,474 |

| 项目 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|
| 影响当期损益之项目 | | |
| 租赁负债之利息费用 | $1,550,254 | $1,665,287 |
| 属短期租赁合约之费用 | 1,893,219 | 3,228,004 |
| 属低价值资产租赁之费用 | 23,879 | 12,846 |
| 变动租赁给付之费用 | 113 | 75 |
| 租赁修改利益 | 136 | 7,270 |

#### 4. 合并公司于民国111年及110年1月1日至9月30日租赁现金流出总额分别为$16,627,159及$13,599,192。

#### 5. 合并公司截至民国111年9月30日止已签订依公允价值判断非属租赁组成之服务合约项目，未来承诺须给付之金额为$38,858,165。

#### 6. 合并公司采用「新型冠状病毒肺炎相关之租金减让」之实务权宜作法，于民国111年及110年1月1日至9月30日将租金减让所产生之租赁给付变动之损益分别为$904及$1,143，认列为租金费用之减项及其他收入，分别计$904、$0及$808、$335。

#### 7. 本公司指定美元计价之租赁合约之租赁负债作为规避未来预期高度很有可能发生之美元货运收入汇率波动之避险工具，并适用现金流量避险之会计处理。避险工具因汇率风险所导致之变动金额属有效避险部分，将递延认列於其他权益项下之避险工具之损益，後续於被避险项目美元货运收入发生时，将其他权益项下之避险工具之损益重分类至货运收入，相关之交易资讯如下：
