以下是从PDF财务报告图像中提取的文本和表格信息：

### 文本内容
- 研华股份有限公司及子公司
- 合并资产负债表
- 民国111年9月30日及民国110年12月31日、9月30日
- （民国111年及110年9月30日之合并资产负债表未经核阅，未依一般公认审计准则查核）
- 单位：新台币仟元

### 表格数据
| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 流动负债 | | | |
| 2100 短期借款 | $545,184 | $255,700 | $226,600 |
| 2120 透过损益按公允价值衡量之金融负债－流动 | - | 2,687 | 2,144 |
| 2130 合约负债－流动 | 1,164,421 | 950,692 | 989,685 |
| 2170 应付帐款及票据 | 7,322,044 | 7,486,975 | 7,234,477 |
| 2200 其他应付款 | 4,473,375 | 4,587,492 | 4,067,409 |
| 2230 本期所得税负债 | 3,029,498 | 2,485,660 | 2,070,918 |
| 2250 负债准备－流动 | 259,323 | 196,498 | 187,541 |
| 2280 租赁负债－流动 | 258,175 | 250,338 | 261,147 |
| 2300 其他流动负债 | 353,403 | 287,636 | 271,607 |
| 21XX 流动负债合计 | 17,420,867 | 16,503,678 | 15,311,528 |
| 非流动负债 | | | |
| 2540 长期借款 | 110,500 | - | - |
| 2560 本期所得税负债－非流动 | 721,304 | 97,320 | 145,981 |
| 2570 遗留所得税负债 | 2,180,474 | 2,178,209 | 2,168,661 |
| 2580 租赁负债－非流动 | 140,278 | 67,068 | 107,996 |
| 2600 其他非流动负债 | 507,890 | 619,171 | 573,049 |
| 25XX 非流动负债合计 | 3,660,446 | 2,961,768 | 2,995,687 |
| 2XXX 负债总计 | 21,081,313 | 19,465,446 | 18,307,215 |
| 归属于母公司股东之权益 | | | |
| 股本 | | | |
| 3110 普通股股本 | 7,763,662 | 7,738,228 | 7,727,295 |
| 3140 预收股本 | 14,772 | 6,410 | 10,933 |
| 资本公积 | | | |
| 3200 资本公积 | 9,034,346 | 8,388,886 | 8,334,107 |
| 保留盈余 | | | |
| 3310 法定盈余公积 | 8,552,226 | 7,737,236 | 7,737,236 |
| 3320 特别盈余公积 | 555,794 | 831,850 | 831,850 |
| 3350 未分配盈余 | 15,181,444 | 13,705,710 | 11,401,763 |
| 其他权益 | | | |
| 3400 其他权益 | 63,773 | - | (555,793) |
| 31XX 归属于母公司股东之权益 | | | |
| 合计 | 41,166,017 | 37,852,527 | 35,231,461 |
| 36XX 非控制权益 | 468,460 | 510,264 | 447,133 |
| 3XXX 权益总计 | 41,634,477 | 38,362,791 | 35,678,594 |
| 重大或有负债及未认列之合约承诺 | | | |
| 3X2X 负债及权益总计 | $62,715,790 | $57,828,237 | $53,985,809 |

### Markdown表格格式
```markdown
| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 流动负债 | | | |
| 2100 短期借款 | $545,184 | $255,700 | $226,600 |
| 2120 透过损益按公允价值衡量之金融负债－流动 | - | 2,687 | 2,144 |
| 2130 合约负债－流动 | 1,164,421 | 950,692 | 989,685 |
| 2170 应付帐款及票据 | 7,322,044 | 7,486,975 | 7,234,477 |
| 2200 其他应付款 | 4,473,375 | 4,587,492 | 4,067,409 |
| 2230 本期所得税负债 | 3,029,498 | 2,485,660 | 2,070,918 |
| 2250 负债准备－流动 | 259,323 | 196,498 | 187,541 |
| 2280 租赁负债－流动 | 258,175 | 250,338 | 261,147 |
| 2300 其他流动负债 | 353,403 | 287,636 | 271,607 |
| 21XX 流动负债合计 | 17,420,867 | 16,503,678 | 15,311,528 |
| 非流动负债 | | | |
| 2540 长期借款 | 110,500 | - | - |
| 2560 本期所得税负债－非流动 | 721,304 | 97,320 | 145,981 |
| 2570 遗留所得税负债 | 2,180,474 | 2,178,209 | 2,168,661 |
| 2580
