### 财务报告

#### 台湾化学纤维股份有限公司及子公司
#### 合并资产负债表
#### 民国111年3月31日及民国110年12月31日、3月31日
#### （民国111年及110年3月31日之合并资产负债表未经审计，未依一般公认审计准则查核）
#### 单位：新台币仟元

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 流动资产 | | | |
| 1100 现金及约当现金 | $ 31,821,811 | $ 23,062,097 | $ 20,614,628 |
| 1110 透过损益按公允价值衡量之金融资产－流动 | 1,543,832 | 3,903,900 | 4,004,404 |
| 1120 透过其他综合损益按公允价值衡量之金融资产－流动 | 118,101,104 | 116,451,723 | 116,550,460 |
| 1136 按摊销后成本衡量之金融资产－流动 | 64,773 | 1,953,235 | 427,589 |
| 1150 应收票据净额 | 10,016,489 | 8,173,238 | 11,611,505 |
| 1160 应收票据－关系人净额 | 6,553 | 8,505 | 2,900 |
| 1170 应收帐款净额 | 19,789,085 | 20,204,508 | 19,434,425 |
| 1180 应收帐款－关系人净额 | 9,699,550 | 8,719,009 | 7,538,707 |
| 1200 其他应收款 | 3,819,012 | 2,742,096 | 3,232,573 |
| 1210 其他应收款－关系人 | 2,841,803 | 2,698,693 | 3,922,038 |
| 130X 存货 | 50,624,179 | 47,200,475 | 39,433,105 |
| 1470 其他流动资产 | 12,752,302 | 11,513,548 | 12,966,390 |
| 11XX 流动资产合计 | 261,080,493 | 246,631,027 | 239,738,724 |
| 非流动资产 | | | |
| 1517 透过其他综合损益按公允价值衡量之金融资产－非流动 | 73,464,153 | 72,999,266 | 61,424,870 |
| 1535 按摊销后成本衡量之金融资产－非流动 | 1,500 | 2,390,179 | 1,500 |
| 1550 接用权益法之投资 | 133,158,246 | 129,632,702 | 123,006,563 |
| 1600 不动产、厂房及设备 | 134,211,073 | 130,897,801 | 127,326,898 |
| 1755 使用权资产 | 1,672,134 | 1,577,555 | 1,567,142 |
| 1780 无形资产 | 5,930 | 5,884 | 3,293 |
| 1840 遗延所得税资产 | 1,418,448 | 2,240,322 | 2,091,363 |
| 1900 其他非流动资产 | 11,557,275 | 11,970,535 | 8,890,006 |
| 15XX 非流动资产合计 | 355,488,759 | 351,714,244 | 324,311,635 |
| 1XXX 资产总计 | $ 616,569,252 | $ 598,345,271 | $ 564,050,359 |

#### 续次页
